defect_type,support,tp,fp,fn,precision,recall,f1,strategy,eval_mode,category
scratch_head,11,2,26,9,0.07142857142857142,0.18181818181818182,0.10256410256410256,category_visual,crop_topk_only,screw
scratch_neck,14,2,10,12,0.16666666666666666,0.14285714285714285,0.15384615384615385,category_visual,crop_topk_only,screw
thread_side,12,0,4,12,0.0,0.0,0.0,category_visual,crop_topk_only,screw
thread_top,13,9,6,4,0.6,0.6923076923076923,0.6428571428571429,category_visual,crop_topk_only,screw
color,1,0,9,1,0.0,0.0,0.0,category_visual,crop_topk_only,wood
combined,3,0,0,3,0.0,0.0,0.0,category_visual,crop_topk_only,wood
hole,5,4,7,1,0.36363636363636365,0.8,0.5,category_visual,crop_topk_only,wood
liquid,7,0,1,7,0.0,0.0,0.0,category_visual,crop_topk_only,wood
scratch,14,9,0,5,1.0,0.6428571428571429,0.782608695652174,category_visual,crop_topk_only,wood
bent,12,0,0,12,0.0,0.0,0.0,visual_ensemble,full_all,grid
broken,12,0,0,12,0.0,0.0,0.0,visual_ensemble,full_all,grid
glue,11,0,0,11,0.0,0.0,0.0,visual_ensemble,full_all,grid
metal_contamination,11,0,0,11,0.0,0.0,0.0,visual_ensemble,full_all,grid
thread,11,11,46,0,0.19298245614035087,1.0,0.3235294117647059,visual_ensemble,full_all,grid
color,19,14,11,5,0.56,0.7368421052631579,0.6363636363636364,visual_ensemble,full_all,leather
cut,19,11,14,8,0.44,0.5789473684210527,0.5,visual_ensemble,full_all,leather
fold,17,17,24,0,0.4146341463414634,1.0,0.5862068965517241,visual_ensemble,full_all,leather
glue,19,0,1,19,0.0,0.0,0.0,visual_ensemble,full_all,leather
poke,18,0,0,18,0.0,0.0,0.0,visual_ensemble,full_all,leather
manipulated_front,24,0,0,24,0.0,0.0,0.0,visual_ensemble,full_all,screw
scratch_head,24,17,79,7,0.17708333333333334,0.7083333333333334,0.2833333333333333,visual_ensemble,full_all,screw
scratch_neck,25,7,16,18,0.30434782608695654,0.28,0.2916666666666667,visual_ensemble,full_all,screw
thread_side,23,0,0,23,0.0,0.0,0.0,visual_ensemble,full_all,screw
thread_top,23,0,0,23,0.0,0.0,0.0,visual_ensemble,full_all,screw
color,8,1,0,7,1.0,0.125,0.2222222222222222,visual_ensemble,full_all,wood
combined,11,0,0,11,0.0,0.0,0.0,visual_ensemble,full_all,wood
hole,10,1,2,9,0.3333333333333333,0.1,0.15384615384615385,visual_ensemble,full_all,wood
liquid,10,2,8,8,0.2,0.2,0.2,visual_ensemble,full_all,wood
scratch,21,21,25,0,0.45652173913043476,1.0,0.6268656716417911,visual_ensemble,full_all,wood
bent,12,0,1,12,0.0,0.0,0.0,visual_ensemble,crop_or_full,grid
broken,12,0,1,12,0.0,0.0,0.0,visual_ensemble,crop_or_full,grid
glue,11,0,1,11,0.0,0.0,0.0,visual_ensemble,crop_or_full,grid
metal_contamination,11,0,0,11,0.0,0.0,0.0,visual_ensemble,crop_or_full,grid
thread,11,10,44,1,0.18518518518518517,0.9090909090909091,0.3076923076923077,visual_ensemble,crop_or_full,grid
color,19,13,12,6,0.52,0.6842105263157895,0.5909090909090909,visual_ensemble,crop_or_full,leather
cut,19,8,14,11,0.36363636363636365,0.42105263157894735,0.3902439024390244,visual_ensemble,crop_or_full,leather
fold,17,16,29,1,0.35555555555555557,0.9411764705882353,0.5161290322580645,visual_ensemble,crop_or_full,leather
glue,19,0,0,19,0.0,0.0,0.0,visual_ensemble,crop_or_full,leather
poke,18,0,0,18,0.0,0.0,0.0,visual_ensemble,crop_or_full,leather
manipulated_front,24,0,1,24,0.0,0.0,0.0,visual_ensemble,crop_or_full,screw
scratch_head,24,19,80,5,0.1919191919191919,0.7916666666666666,0.3089430894308943,visual_ensemble,crop_or_full,screw
scratch_neck,25,1,10,24,0.09090909090909091,0.04,0.05555555555555555,visual_ensemble,crop_or_full,screw
thread_side,23,0,3,23,0.0,0.0,0.0,visual_ensemble,crop_or_full,screw
thread_top,23,2,3,21,0.4,0.08695652173913043,0.14285714285714285,visual_ensemble,crop_or_full,screw
color,8,1,1,7,0.5,0.125,0.2,visual_ensemble,crop_or_full,wood
combined,11,0,0,11,0.0,0.0,0.0,visual_ensemble,crop_or_full,wood
hole,10,5,8,5,0.38461538461538464,0.5,0.43478260869565216,visual_ensemble,crop_or_full,wood
liquid,10,2,7,8,0.2222222222222222,0.2,0.21052631578947367,visual_ensemble,crop_or_full,wood
