category,method,variant,pair_accuracy,fraction_correct_to_wrong,fraction_wrong_to_correct,changed_pair_fraction
fryum,D,contrast_0.8,1.0,0.0,0.0,0.0
fryum,D,contrast_1.2,1.0,0.0,0.0,0.0
fryum,D,identity,1.0,0.0,0.0,0.0
fryum,MLP,brightness_0.8,1.0,0.0,0.0,0.0
fryum,MLP,brightness_1.2,1.0,0.0,0.0,0.0
fryum,MLP,contrast_0.8,1.0,0.0,0.0,0.0
fryum,MLP,contrast_1.2,1.0,0.0,0.0,0.0
fryum,MLP,identity,1.0,0.0,0.0,0.0
macaroni1,D,brightness_0.8,1.0,0.0,0.0,0.0
macaroni1,D,brightness_1.2,1.0,0.0,0.0,0.0
macaroni1,D,contrast_0.8,1.0,0.0,0.0,0.0
macaroni1,D,contrast_1.2,1.0,0.0,0.0,0.0
macaroni1,D,identity,1.0,0.0,0.0,0.0
macaroni1,MLP,brightness_0.8,1.0,0.0,0.0,0.0
macaroni1,MLP,brightness_1.2,1.0,0.0,0.0,0.0
macaroni1,MLP,contrast_0.8,1.0,0.0,0.0,0.0
macaroni1,MLP,contrast_1.2,1.0,0.0,0.0,0.0
macaroni1,MLP,identity,1.0,0.0,0.0,0.0
macaroni2,D,brightness_0.8,0.9375,0.0,0.0,0.0
macaroni2,D,brightness_1.2,0.9375,0.0,0.0,0.0
macaroni2,D,contrast_0.8,0.9375,0.0,0.0,0.0
macaroni2,D,contrast_1.2,0.9375,0.0,0.0,0.0
macaroni2,D,identity,0.9375,0.0,0.0,0.0
macaroni2,MLP,brightness_0.8,1.0,0.0,0.0,0.0
macaroni2,MLP,brightness_1.2,1.0,0.0,0.0,0.0
macaroni2,MLP,contrast_0.8,1.0,0.0,0.0,0.0
macaroni2,MLP,contrast_1.2,1.0,0.0,0.0,0.0
macaroni2,MLP,identity,1.0,0.0,0.0,0.0
pcb1,D,brightness_0.8,1.0,0.0,0.0,0.0
pcb1,D,brightness_1.2,1.0,0.0,0.0,0.0
pcb1,D,contrast_0.8,1.0,0.0,0.0,0.0
pcb1,D,contrast_1.2,1.0,0.0,0.0,0.0
pcb1,D,identity,1.0,0.0,0.0,0.0
pcb1,MLP,brightness_0.8,1.0,0.0,0.0,0.0
pcb1,MLP,brightness_1.2,1.0,0.0,0.0,0.0
pcb1,MLP,contrast_0.8,1.0,0.0,0.0,0.0
pcb1,MLP,contrast_1.2,1.0,0.0,0.0,0.0
pcb1,MLP,identity,1.0,0.0,0.0,0.0
pcb2,D,brightness_0.8,1.0,0.0,0.0,0.0
pcb2,D,brightness_1.2,1.0,0.0,0.0,0.0
pcb2,D,contrast_0.8,1.0,0.0,0.0,0.0
pcb2,D,contrast_1.2,1.0,0.0,0.0,0.0
pcb2,D,identity,1.0,0.0,0.0,0.0
pcb2,MLP,brightness_0.8,1.0,0.0,0.0,0.0
pcb2,MLP,brightness_1.2,1.0,0.0,0.0,0.0
pcb2,MLP,contrast_0.8,1.0,0.0,0.0,0.0
pcb2,MLP,contrast_1.2,1.0,0.0,0.0,0.0
pcb2,MLP,identity,1.0,0.0,0.0,0.0
pcb3,D,brightness_0.8,1.0,0.0,0.0,0.0
pcb3,D,brightness_1.2,1.0,0.0,0.0,0.0
pcb3,D,contrast_0.8,1.0,0.0,0.0,0.0
pcb3,D,contrast_1.2,1.0,0.0,0.0,0.0
pcb3,D,identity,1.0,0.0,0.0,0.0
pcb3,MLP,brightness_0.8,1.0,0.0,0.0,0.0
pcb3,MLP,brightness_1.2,1.0,0.0,0.0,0.0
pcb3,MLP,contrast_0.8,1.0,0.0,0.0,0.0
pcb3,MLP,contrast_1.2,1.0,0.0,0.0,0.0
pcb3,MLP,identity,1.0,0.0,0.0,0.0
pcb4,D,brightness_0.8,1.0,0.0,0.0,0.0
pcb4,D,brightness_1.2,1.0,0.0,0.0,0.0
pcb4,D,contrast_0.8,1.0,0.0,0.0,0.0
pcb4,D,contrast_1.2,1.0,0.0,0.0,0.0
pcb4,D,identity,1.0,0.0,0.0,0.0
pcb4,MLP,brightness_0.8,0.875,0.0,0.0,0.0
pcb4,MLP,brightness_1.2,0.875,0.0,0.0,0.0
pcb4,MLP,contrast_0.8,0.875,0.0,0.0,0.0
pcb4,MLP,contrast_1.2,0.875,0.0,0.0,0.0
pcb4,MLP,identity,0.875,0.0,0.0,0.0
pipe_fryum,D,brightness_0.8,1.0,0.0,0.0,0.0
pipe_fryum,D,brightness_1.2,1.0,0.0,0.0,0.0
pipe_fryum,D,contrast_0.8,1.0,0.0,0.0,0.0
pipe_fryum,D,contrast_1.2,1.0,0.0,0.0,0.0
pipe_fryum,D,identity,1.0,0.0,0.0,0.0
pipe_fryum,MLP,brightness_0.8,1.0,0.0,0.0,0.0
pipe_fryum,MLP,brightness_1.2,1.0,0.0,0.0,0.0
pipe_fryum,MLP,contrast_0.8,1.0,0.0,0.0,0.0
pipe_fryum,MLP,contrast_1.2,1.0,0.0,0.0,0.0
pipe_fryum,MLP,identity,1.0,0.0,0.0,0.0
