dataset,category,stratum,feature,fit_images,check_images,median,q01,q99,fraction_outside_source_scaler_3sd,fraction_outside_source_scaler_5sd
AD2,fabric,uniform,response,8,8,-4.979306221008301,-8.988707542419434,-1.4622410535812378,0.0003662109375,0.0
AD2,fabric,uniform,center_surround,8,8,0.06958971917629242,-2.035494089126587,1.3678971529006958,0.0010986328125,0.0
AD2,fabric,uniform,surround,8,8,-5.216170310974121,-7.134326934814453,-2.1387124061584473,0.0,0.0
AD2,fabric,uniform,response_std,8,8,1.0229415893554688,0.5436350703239441,1.9021005630493164,0.0,0.0
AD2,fabric,uniform,intensity_mean,8,8,0.49014341831207275,0.3023502230644226,0.5956892967224121,0.0,0.0
AD2,fabric,uniform,intensity_std,8,8,0.15709362924098969,0.0473315566778183,0.2609577178955078,0.0,0.0
AD2,fabric,uniform,image_gradient,8,8,0.29315727949142456,0.13895446062088013,0.6494014859199524,0.0001220703125,0.0
AD2,fruit_jelly,high_response,response,8,8,0.12807871401309967,-1.479025959968567,3.964327573776245,0.0,0.0
AD2,fruit_jelly,high_response,center_surround,8,8,1.4956157207489014,0.8928555846214294,2.928952693939209,0.0,0.0
AD2,fruit_jelly,high_response,surround,8,8,-1.8866873979568481,-3.179082155227661,0.8626337051391602,0.0,0.0
AD2,fruit_jelly,high_response,response_std,8,8,1.393004059791565,0.8098810315132141,2.4313745498657227,0.0,0.0
AD2,fruit_jelly,high_response,intensity_mean,8,8,0.7671263813972473,0.5692571997642517,0.8133103251457214,0.0,0.0
AD2,fruit_jelly,high_response,intensity_std,8,8,0.09130451828241348,0.03404194489121437,0.2068706601858139,0.0,0.0
AD2,fruit_jelly,high_response,image_gradient,8,8,0.14167696237564087,0.02365364506840706,0.42279160022735596,0.0,0.0
AD2,fruit_jelly,uniform,response,8,8,-6.329796314239502,-10.034239768981934,-1.2579675912857056,0.0,0.0
AD2,fruit_jelly,uniform,center_surround,8,8,0.03695259243249893,-1.3057305812835693,1.0925830602645874,0.0,0.0
AD2,fruit_jelly,uniform,surround,8,8,-6.450222015380859,-9.099165916442871,-2.0172643661499023,0.0,0.0
AD2,fruit_jelly,uniform,response_std,8,8,0.7551400661468506,0.189474418759346,1.9222568273544312,0.0,0.0
AD2,fruit_jelly,uniform,intensity_mean,8,8,0.9803335070610046,0.4792139530181885,1.0,0.0,0.0
AD2,fruit_jelly,uniform,intensity_std,8,8,0.04389781504869461,0.0,0.22747324407100677,0.0,0.0
AD2,fruit_jelly,uniform,image_gradient,8,8,0.00021444461890496314,0.0,0.5007704496383667,0.0,0.0
AD2,rice,high_response,response,8,8,-0.8985012173652649,-1.9645429849624634,1.89833664894104,0.0,0.0
AD2,rice,high_response,center_surround,8,8,2.2768330574035645,1.5503789186477661,2.991415023803711,0.0,0.0
AD2,rice,high_response,surround,8,8,-3.578645706176758,-4.840759754180908,-1.456365942955017,0.0,0.0
AD2,rice,high_response,response_std,8,8,1.5748052597045898,1.1759713888168335,2.3377599716186523,0.0,0.0
AD2,rice,high_response,intensity_mean,8,8,0.553165853023529,0.5252898335456848,0.6052054166793823,0.0,0.0
AD2,rice,high_response,intensity_std,8,8,0.07662729918956757,0.04865748807787895,0.11128522455692291,0.0,0.0
