category,method,auroc,ap
chewinggum,map_2026,0.9887999999999999,0.9950011673824481
chewinggum,full_42,0.9962,0.9981868881115643
chewinggum,full_123,0.996,0.9981046842216971
chewinggum,full_2026,0.9948,0.9976967773374469
fryum,D_z,0.984,0.9919779086885728
fryum,linear,0.9806,0.9908922623734202
fryum,linear_contrast,0.9796,0.990147070126554
fryum,linear_convex,0.976,0.9888716075485956
fryum,response_42,0.9843999999999999,0.992047491186725
fryum,response_123,0.9843999999999999,0.992047491186725
fryum,response_2026,0.9843999999999999,0.992047491186725
fryum,map_42,0.9826,0.9911830233992214
fryum,map_123,0.9823999999999999,0.991104338046438
fryum,map_2026,0.9816,0.9906961731501103
fryum,full_42,0.9804,0.9908695189694905
fryum,full_123,0.9794,0.990348915288605
fryum,full_2026,0.9803999999999999,0.990837836475875
macaroni1,D_z,0.9563999999999999,0.9504056665793419
macaroni1,linear,0.998,0.998124449791918
macaroni1,linear_contrast,0.9714999999999999,0.969943621133519
macaroni1,linear_convex,0.9981,0.9982048873723556
macaroni1,response_42,0.9509,0.9427510687968987
macaroni1,response_123,0.9509,0.9427510687968987
macaroni1,response_2026,0.9509,0.9427510687968987
macaroni1,map_42,0.9658,0.9652927679772356
macaroni1,map_123,0.9647,0.9637668756828421
macaroni1,map_2026,0.9652000000000001,0.9644902079744945
macaroni1,full_42,0.9998,0.9998009900990099
macaroni1,full_123,0.9997,0.9997039215686274
macaroni1,full_2026,0.9998,0.9998009900990099
macaroni2,D_z,0.8292,0.8272645759779061
macaroni2,linear,0.9652000000000001,0.9600321918931973
macaroni2,linear_contrast,0.8634000000000001,0.8646162818189463
macaroni2,linear_convex,0.973,0.971048828339869
macaroni2,response_42,0.8207,0.8214397773156374
macaroni2,response_123,0.8207,0.8214397773156374
macaroni2,response_2026,0.8207,0.8214397773156374
macaroni2,map_42,0.8446999999999999,0.8510316740211773
macaroni2,map_123,0.846,0.852394596772746
macaroni2,map_2026,0.8457,0.853358865409706
macaroni2,full_42,0.9801,0.9783457663085996
macaroni2,full_123,0.9805999999999999,0.9758419031501553
macaroni2,full_2026,0.9790000000000001,0.9773366128795394
pcb1,D_z,0.9847999999999999,0.9849984935421512
pcb1,linear,0.9821,0.984766253600659
pcb1,linear_contrast,0.9842000000000001,0.9847425066468788
pcb1,linear_convex,0.9838,0.9855909935863049
pcb1,response_42,0.9872,0.9870973504633358
pcb1,response_123,0.9872,0.9870973504633358
pcb1,response_2026,0.9872,0.9870973504633358
pcb1,map_42,0.9843999999999999,0.9834576541745201
pcb1,map_123,0.9841,0.9832956145221002
pcb1,map_2026,0.9843,0.9835147714093778
pcb1,full_42,0.9831,0.986019708287644
pcb1,full_123,0.9827,0.985257116699054
pcb1,full_2026,0.9837,0.986144001329767
pcb2,D_z,0.9624999999999999,0.9688283370282473
pcb2,linear,0.9936999999999999,0.993583325097124
pcb2,linear_contrast,0.9615,0.9684581551367153
pcb2,linear_convex,0.9878,0.9908634384309796
pcb2,response_42,0.9624,0.969174849474403
pcb2,response_123,0.9624,0.969174849474403
pcb2,response_2026,0.9624,0.969174849474403
pcb2,map_42,0.9594999999999999,0.967939491613353
pcb2,map_123,0.9600000000000001,0.968107808912158
pcb2,map_2026,0.9593,0.9677388751231399
pcb2,full_42,0.9906,0.9905653219766096
pcb2,full_123,0.9905,0.9904539165080365
pcb2,full_2026,0.9878,0.9881167448375903
pcb3,D_z,0.985049504950495,0.9864242081134261
pcb3,linear,0.9946534653465346,0.9944031641748292
pcb3,linear_contrast,0.9868316831683168,0.9882892006750553
pcb3,linear_convex,0.9922772277227723,0.9923644736612753
pcb3,response_42,0.9853465346534653,0.9866438182813267
pcb3,response_123,0.9853465346534653,0.9866438182813267
pcb3,response_2026,0.9853465346534653,0.9866438182813267
pcb3,map_42,0.9861386138613861,0.9874522569415479
pcb3,map_123,0.9864356435643564,0.9876843758805463
pcb3,map_2026,0.9866336633663366,0.9879399122271911
pcb3,full_42,0.9903960396039604,0.9904620629185629
pcb3,full_123,0.9900990099009902,0.9902124956318162
pcb3,full_2026,0.9894059405940594,0.9894971889466877
pcb4,D_z,0.9969306930693069,0.9966010519532534
pcb4,linear,0.9932673267326733,0.9909139121346362
pcb4,linear_contrast,0.9943564356435644,0.992333908524927
pcb4,linear_convex,0.9941584158415842,0.9927471657385845
pcb4,response_42,0.9974257425742574,0.9972618856319411
pcb4,response_123,0.9974257425742574,0.9972618856319411
pcb4,response_2026,0.9974257425742574,0.9972618856319411
pcb4,map_42,0.9905940594059406,0.9830479669483063
pcb4,map_123,0.9908910891089109,0.9837055201523434
pcb4,map_2026,0.9907920792079208,0.9839543665792373
pcb4,full_42,0.9910891089108911,0.9874104996718929
pcb4,full_123,0.9913861386138614,0.9866052609593252
pcb4,full_2026,0.9921782178217822,0.9897274235000593
pipe_fryum,D_z,0.999,0.9995153846153846
pipe_fryum,linear,0.9968,0.9985402219140083
pipe_fryum,linear_contrast,0.997,0.9985178881129655
pipe_fryum,linear_convex,0.9968,0.9985018732541668
pipe_fryum,response_42,0.9995999999999999,0.9998009900990099
pipe_fryum,response_123,0.9995999999999999,0.9998009900990099
pipe_fryum,response_2026,0.9995999999999999,0.9998009900990099
pipe_fryum,map_42,0.9962,0.9980975436016768
pipe_fryum,map_123,0.9964,0.998207433711567
pipe_fryum,map_2026,0.997,0.9985178881129655
pipe_fryum,full_42,0.9972000000000001,0.9986379066932086
pipe_fryum,full_123,0.9962,0.9981998113814718
pipe_fryum,full_2026,0.9958,0.9979905608395603
