method,category,condition,size_band,regions,aupro_0_05
global,vial,underexposed,tiny_le_0.1pct,8,0.9090157371043761
global,wallplugs,overexposed,all,15,0.4509933844117976
global,wallplugs,overexposed,large_gt_1pct,2,0.8718758724953302
global,wallplugs,overexposed,small_0.1_to_1pct,3,0.32331322918673566
global,wallplugs,overexposed,tiny_le_0.1pct,10,0.40512093336263416
global,wallplugs,regular,all,15,0.45250350859827204
global,wallplugs,regular,large_gt_1pct,2,0.8705733332073852
global,wallplugs,regular,small_0.1_to_1pct,3,0.31752273180246454
global,wallplugs,regular,tiny_le_0.1pct,10,0.40938377671521714
global,wallplugs,shift_1,all,15,0.541066757427224
global,wallplugs,shift_1,large_gt_1pct,2,0.8793922230015729
global,wallplugs,shift_1,small_0.1_to_1pct,3,0.42022847886540454
global,wallplugs,shift_1,tiny_le_0.1pct,10,0.5096531478809174
global,wallplugs,shift_2,all,15,0.3936056060014896
global,wallplugs,shift_2,large_gt_1pct,2,0.6933103269803865
global,wallplugs,shift_2,small_0.1_to_1pct,3,0.15728943376259694
global,wallplugs,shift_2,tiny_le_0.1pct,10,0.40455951347738783
global,wallplugs,shift_3,all,15,0.44330604386469064
global,wallplugs,shift_3,large_gt_1pct,2,0.7783063066929587
global,wallplugs,shift_3,small_0.1_to_1pct,3,0.3497640753193597
global,wallplugs,shift_3,tiny_le_0.1pct,10,0.4043685818626473
global,wallplugs,underexposed,all,15,0.45304638681362336
global,wallplugs,underexposed,large_gt_1pct,2,0.8685673072446611
global,wallplugs,underexposed,small_0.1_to_1pct,3,0.3153260214175985
global,wallplugs,underexposed,tiny_le_0.1pct,10,0.4112583123462502
global,walnuts,overexposed,all,44,0.709387573067854
global,walnuts,overexposed,large_gt_1pct,10,0.7805350760536955
global,walnuts,overexposed,small_0.1_to_1pct,14,0.7720908124271288
global,walnuts,overexposed,tiny_le_0.1pct,20,0.6299215540234584
global,walnuts,regular,all,44,0.7125344468419833
global,walnuts,regular,large_gt_1pct,10,0.7826116735616059
global,walnuts,regular,small_0.1_to_1pct,14,0.7707285248670959
global,walnuts,regular,tiny_le_0.1pct,20,0.636759978864608
global,walnuts,shift_1,all,44,0.5222203885865121
global,walnuts,shift_1,large_gt_1pct,10,0.6856385759190029
global,walnuts,shift_1,small_0.1_to_1pct,14,0.5757129714150961
global,walnuts,shift_1,tiny_le_0.1pct,20,0.40306648694025543
global,walnuts,shift_2,all,44,0.7118961204722025
global,walnuts,shift_2,large_gt_1pct,10,0.7737532789840088
global,walnuts,shift_2,small_0.1_to_1pct,14,0.7668896565916733
global,walnuts,shift_2,tiny_le_0.1pct,20,0.6424720659326896
global,walnuts,shift_3,all,44,0.5630479919517228
global,walnuts,shift_3,large_gt_1pct,10,0.697382334433759
global,walnuts,shift_3,small_0.1_to_1pct,14,0.6162434335481076
global,walnuts,shift_3,tiny_le_0.1pct,20,0.458644011593232
global,walnuts,underexposed,all,44,0.7128648689275042
global,walnuts,underexposed,large_gt_1pct,10,0.7861793203863809
global,walnuts,underexposed,small_0.1_to_1pct,14,0.7677927098910249
global,walnuts,underexposed,tiny_le_0.1pct,20,0.6377581545236111
q99_geomean,can,overexposed,all,16,0.1480315668194677
q99_geomean,can,overexposed,large_gt_1pct,0,nan
q99_geomean,can,overexposed,small_0.1_to_1pct,0,nan
q99_geomean,can,overexposed,tiny_le_0.1pct,16,0.1480315668194677
q99_geomean,can,regular,all,16,0.14816433251057987
q99_geomean,can,regular,large_gt_1pct,0,nan
q99_geomean,can,regular,small_0.1_to_1pct,0,nan
q99_geomean,can,regular,tiny_le_0.1pct,16,0.14816433251057987
q99_geomean,can,shift_1,all,16,0.16841642926105826
q99_geomean,can,shift_1,large_gt_1pct,0,nan
q99_geomean,can,shift_1,small_0.1_to_1pct,0,nan
q99_geomean,can,shift_1,tiny_le_0.1pct,16,0.16841642926105826
q99_geomean,can,shift_2,all,16,0.10903043044515691
q99_geomean,can,shift_2,large_gt_1pct,0,nan
q99_geomean,can,shift_2,small_0.1_to_1pct,0,nan
q99_geomean,can,shift_2,tiny_le_0.1pct,16,0.10903043044515691
q99_geomean,can,shift_3,all,16,0.12223932390614134
q99_geomean,can,shift_3,large_gt_1pct,0,nan
q99_geomean,can,shift_3,small_0.1_to_1pct,0,nan
q99_geomean,can,shift_3,tiny_le_0.1pct,16,0.12223932390614134
q99_geomean,can,underexposed,all,16,0.1441810184749882
q99_geomean,can,underexposed,large_gt_1pct,0,nan
q99_geomean,can,underexposed,small_0.1_to_1pct,0,nan
q99_geomean,can,underexposed,tiny_le_0.1pct,16,0.1441810184749882
q99_geomean,fabric,overexposed,all,32,0.40188442462979845
q99_geomean,fabric,overexposed,large_gt_1pct,1,0.47557346389740196
q99_geomean,fabric,overexposed,small_0.1_to_1pct,1,0.9979782765286791
q99_geomean,fabric,overexposed,tiny_le_0.1pct,30,0.37955832825759317
q99_geomean,fabric,regular,all,32,0.39909657119014075
q99_geomean,fabric,regular,large_gt_1pct,1,0.47588900401380174
q99_geomean,fabric,regular,small_0.1_to_1pct,1,0.9979092885353369
q99_geomean,fabric,regular,tiny_le_0.1pct,30,0.376576399517856
q99_geomean,fabric,shift_1,all,32,0.42170884528709707
q99_geomean,fabric,shift_1,large_gt_1pct,1,0.47656128492762906
q99_geomean,fabric,shift_1,small_0.1_to_1pct,1,0.9991538175729766
q99_geomean,fabric,shift_1,tiny_le_0.1pct,30,0.4006322648895564
q99_geomean,fabric,shift_2,all,32,0.5175964990858437
q99_geomean,fabric,shift_2,large_gt_1pct,1,0.45827190298814674
q99_geomean,fabric,shift_2,small_0.1_to_1pct,1,0.9985802684943392
q99_geomean,fabric,shift_2,tiny_le_0.1pct,30,0.5035411933088191
q99_geomean,fabric,shift_3,all,32,0.5238779279786931
q99_geomean,fabric,shift_3,large_gt_1pct,1,0.4707371303313813
q99_geomean,fabric,shift_3,small_0.1_to_1pct,1,0.9988751267005787
q99_geomean,fabric,shift_3,tiny_le_0.1pct,30,0.5098160479428784
q99_geomean,fabric,underexposed,all,32,0.4002609458793821
q99_geomean,fabric,underexposed,large_gt_1pct,1,0.4736698203767967
q99_geomean,fabric,underexposed,small_0.1_to_1pct,1,0.9979443506927108
q99_geomean,fabric,underexposed,tiny_le_0.1pct,30,0.3778912032357027
q99_geomean,fruit_jelly,overexposed,all,57,0.5592972593309077
q99_geomean,fruit_jelly,overexposed,large_gt_1pct,7,0.511963457845235
q99_geomean,fruit_jelly,overexposed,small_0.1_to_1pct,10,0.7721728243009092
q99_geomean,fruit_jelly,overexposed,tiny_le_0.1pct,40,0.5143617833484007
q99_geomean,fruit_jelly,regular,all,57,0.5659253193126684
q99_geomean,fruit_jelly,regular,large_gt_1pct,7,0.5104701151255658
q99_geomean,fruit_jelly,regular,small_0.1_to_1pct,10,0.7809821872400985
q99_geomean,fruit_jelly,regular,tiny_le_0.1pct,40,0.5218657630635507
q99_geomean,fruit_jelly,shift_1,all,57,0.5565536365336213
q99_geomean,fruit_jelly,shift_1,large_gt_1pct,7,0.5075267320961986
q99_geomean,fruit_jelly,shift_1,small_0.1_to_1pct,10,0.7735957377714181
q99_geomean,fruit_jelly,shift_1,tiny_le_0.1pct,40,0.5108728195007203
q99_geomean,fruit_jelly,underexposed,all,57,0.565180610299367
q99_geomean,fruit_jelly,underexposed,large_gt_1pct,7,0.5065323867558724
q99_geomean,fruit_jelly,underexposed,small_0.1_to_1pct,10,0.7843996057759611
q99_geomean,fruit_jelly,underexposed,tiny_le_0.1pct,40,0.5206393005503276
q99_geomean,rice,overexposed,all,20,0.7551004161934954
q99_geomean,rice,overexposed,large_gt_1pct,1,0.9962877893057793
q99_geomean,rice,overexposed,small_0.1_to_1pct,10,0.892903606257899
q99_geomean,rice,overexposed,tiny_le_0.1pct,9,0.5751871635539574
q99_geomean,rice,regular,all,20,0.7440507557052393
q99_geomean,rice,regular,large_gt_1pct,1,0.9963790478019453
q99_geomean,rice,regular,small_0.1_to_1pct,10,0.8679837238283602
q99_geomean,rice,regular,tiny_le_0.1pct,9,0.5783109808910591
q99_geomean,rice,shift_1,all,20,0.7087281984903295
q99_geomean,rice,shift_1,large_gt_1pct,1,0.9944380037200251
q99_geomean,rice,shift_1,small_0.1_to_1pct,10,0.824398320816633
q99_geomean,rice,shift_1,tiny_le_0.1pct,9,0.5484603064356208
q99_geomean,rice,shift_2,all,20,0.7541599372237381
q99_geomean,rice,shift_2,large_gt_1pct,1,0.9965209597013532
q99_geomean,rice,shift_2,small_0.1_to_1pct,10,0.8687294138323572
q99_geomean,rice,shift_2,tiny_le_0.1pct,9,0.5999315162722565
q99_geomean,rice,shift_3,all,20,0.7455086193554569
q99_geomean,rice,shift_3,large_gt_1pct,1,0.9962314348306636
q99_geomean,rice,shift_3,small_0.1_to_1pct,10,0.8573338074425103
q99_geomean,rice,shift_3,tiny_le_0.1pct,9,0.5934003197615226
q99_geomean,rice,underexposed,all,20,0.7412226155216118
q99_geomean,rice,underexposed,large_gt_1pct,1,0.9962335590334971
q99_geomean,rice,underexposed,small_0.1_to_1pct,10,0.8728678407731097
q99_geomean,rice,underexposed,tiny_le_0.1pct,9,0.5666155937408753
q99_geomean,sheet_metal,overexposed,all,75,0.714937643781093
q99_geomean,sheet_metal,overexposed,large_gt_1pct,2,0.5877106565243049
q99_geomean,sheet_metal,overexposed,small_0.1_to_1pct,4,0.9174468365456226
q99_geomean,sheet_metal,overexposed,tiny_le_0.1pct,69,0.7068857191934982
q99_geomean,sheet_metal,regular,all,75,0.7127334227081852
q99_geomean,sheet_metal,regular,large_gt_1pct,2,0.5876350076201243
q99_geomean,sheet_metal,regular,small_0.1_to_1pct,4,0.9283425268499577
q99_geomean,sheet_metal,regular,tiny_le_0.1pct,69,0.7038603852242717
q99_geomean,sheet_metal,shift_1,all,75,0.7232667852492267
q99_geomean,sheet_metal,shift_1,large_gt_1pct,2,0.5880100420129922
q99_geomean,sheet_metal,shift_1,small_0.1_to_1pct,4,0.9766001958597997
q99_geomean,sheet_metal,shift_1,tiny_le_0.1pct,69,0.7125012757424223
q99_geomean,sheet_metal,shift_2,all,75,0.7220136178470433
q99_geomean,sheet_metal,shift_2,large_gt_1pct,2,0.5878551778025211
q99_geomean,sheet_metal,shift_2,small_0.1_to_1pct,4,0.9717988193324579
q99_geomean,sheet_metal,shift_2,tiny_le_0.1pct,69,0.7114219667477328
q99_geomean,sheet_metal,shift_3,all,75,0.7214731959928052
q99_geomean,sheet_metal,shift_3,large_gt_1pct,2,0.5916359130563689
q99_geomean,sheet_metal,shift_3,small_0.1_to_1pct,4,0.979751364531008
q99_geomean,sheet_metal,shift_3,tiny_le_0.1pct,69,0.7102639480467227
q99_geomean,sheet_metal,underexposed,all,75,0.7087885300960897
q99_geomean,sheet_metal,underexposed,large_gt_1pct,2,0.5906405745074386
q99_geomean,sheet_metal,underexposed,small_0.1_to_1pct,4,0.9436708977078879
q99_geomean,sheet_metal,underexposed,tiny_le_0.1pct,69,0.6985967393820476
q99_geomean,vial,overexposed,all,25,0.7961136582532219
q99_geomean,vial,overexposed,large_gt_1pct,7,0.485825791198448
q99_geomean,vial,overexposed,small_0.1_to_1pct,11,0.913792514856871
q99_geomean,vial,overexposed,tiny_le_0.1pct,7,0.9214776077879729
q99_geomean,vial,regular,all,24,0.7974578011067057
q99_geomean,vial,regular,large_gt_1pct,7,0.49005372296589134
q99_geomean,vial,regular,small_0.1_to_1pct,11,0.9152873780586914
q99_geomean,vial,regular,tiny_le_0.1pct,6,0.9400750011923672
q99_geomean,vial,shift_1,all,25,0.7511512117113229
q99_geomean,vial,shift_1,large_gt_1pct,7,0.4900136375640321
q99_geomean,vial,shift_1,small_0.1_to_1pct,11,0.8560494497660165
q99_geomean,vial,shift_1,tiny_le_0.1pct,7,0.8474486974869653
q99_geomean,vial,shift_2,all,25,0.7993538554385493
q99_geomean,vial,shift_2,large_gt_1pct,7,0.49254416402679496
q99_geomean,vial,shift_2,small_0.1_to_1pct,11,0.9124051423004416
q99_geomean,vial,shift_2,tiny_le_0.1pct,7,0.9285115246387704
q99_geomean,vial,shift_3,all,25,0.7795395776826444
q99_geomean,vial,shift_3,large_gt_1pct,7,0.4883566269961721
q99_geomean,vial,shift_3,small_0.1_to_1pct,11,0.8925127222207613
q99_geomean,vial,shift_3,tiny_le_0.1pct,7,0.8931933012377714
q99_geomean,vial,shift_4,all,25,0.7387484931944357
q99_geomean,vial,shift_4,large_gt_1pct,7,0.487822394281003
q99_geomean,vial,shift_4,small_0.1_to_1pct,11,0.8439738076376535
q99_geomean,vial,shift_4,tiny_le_0.1pct,7,0.8243205265542669
q99_geomean,vial,underexposed,all,26,0.7835954945426984
q99_geomean,vial,underexposed,large_gt_1pct,7,0.49386933531050653
q99_geomean,vial,underexposed,small_0.1_to_1pct,11,0.9143446581992657
q99_geomean,vial,underexposed,tiny_le_0.1pct,8,0.8573257838431143
q99_geomean,wallplugs,overexposed,all,15,0.6062073208302408
q99_geomean,wallplugs,overexposed,large_gt_1pct,2,0.9081993694031221
q99_geomean,wallplugs,overexposed,small_0.1_to_1pct,3,0.39540724603424726
q99_geomean,wallplugs,overexposed,tiny_le_0.1pct,10,0.6090489335544574
q99_geomean,wallplugs,regular,all,15,0.6011785943067224
q99_geomean,wallplugs,regular,large_gt_1pct,2,0.9066243384732936
q99_geomean,wallplugs,regular,small_0.1_to_1pct,3,0.3885682358830149
q99_geomean,wallplugs,regular,tiny_le_0.1pct,10,0.6038725530005158
q99_geomean,wallplugs,shift_1,all,15,0.6392008786778869
q99_geomean,wallplugs,shift_1,large_gt_1pct,2,0.9070210004470101
q99_geomean,wallplugs,shift_1,small_0.1_to_1pct,3,0.4692610939827749
q99_geomean,wallplugs,shift_1,tiny_le_0.1pct,10,0.636618789732605
q99_geomean,wallplugs,shift_2,all,15,0.48119313296317057
q99_geomean,wallplugs,shift_2,large_gt_1pct,2,0.6983289912351233
q99_geomean,wallplugs,shift_2,small_0.1_to_1pct,3,0.22294055254195552
q99_geomean,wallplugs,shift_2,tiny_le_0.1pct,10,0.5152417354351511
q99_geomean,wallplugs,shift_3,all,15,0.5659419642838154
q99_geomean,wallplugs,shift_3,large_gt_1pct,2,0.8240901683242478
q99_geomean,wallplugs,shift_3,small_0.1_to_1pct,3,0.378005148643793
q99_geomean,wallplugs,shift_3,tiny_le_0.1pct,10,0.5706933681677369
q99_geomean,wallplugs,underexposed,all,15,0.6008505181884375
q99_geomean,wallplugs,underexposed,large_gt_1pct,2,0.904066221072903
q99_geomean,wallplugs,underexposed,small_0.1_to_1pct,3,0.393060677587242
q99_geomean,wallplugs,underexposed,tiny_le_0.1pct,10,0.6025443297918989
q99_geomean,walnuts,overexposed,all,44,0.7390603177560158
q99_geomean,walnuts,overexposed,large_gt_1pct,10,0.780719607094744
q99_geomean,walnuts,overexposed,small_0.1_to_1pct,14,0.803670628647763
q99_geomean,walnuts,overexposed,tiny_le_0.1pct,20,0.673003455462442
q99_geomean,walnuts,regular,all,44,0.7401039894908984
q99_geomean,walnuts,regular,large_gt_1pct,10,0.7829355782030252
q99_geomean,walnuts,regular,small_0.1_to_1pct,14,0.8014241541609218
q99_geomean,walnuts,regular,tiny_le_0.1pct,20,0.6757640798658382
q99_geomean,walnuts,shift_1,all,44,0.571654437536342
q99_geomean,walnuts,shift_1,large_gt_1pct,10,0.6895022903437142
q99_geomean,walnuts,shift_1,small_0.1_to_1pct,14,0.6144554847477621
q99_geomean,walnuts,shift_1,tiny_le_0.1pct,20,0.4827697780846629
q99_geomean,walnuts,shift_2,all,44,0.7481412062735093
