category,image_id,method,best_window_coverage,union_coverage,recalled50,recalled90
capsules,a41ee7bc6d532342670c3c50,grid8,0.0,0.0,0.0,0.0
capsules,a41ee7bc6d532342670c3c50,mixed8,1.0,1.0,1.0,1.0
capsules,a41ee7bc6d532342670c3c50,top8,1.0,1.0,1.0,1.0
capsules,c2901b191e7526e7a08e1eea,grid8,0.0,0.0,0.0,0.0
capsules,c2901b191e7526e7a08e1eea,mixed8,1.0,1.0,1.0,1.0
capsules,c2901b191e7526e7a08e1eea,top8,1.0,1.0,1.0,1.0
capsules,c36619b63c9043eed4c5849b,grid8,0.5,0.5,0.5,0.5
capsules,c36619b63c9043eed4c5849b,mixed8,0.5,0.5,0.5,0.5
capsules,c36619b63c9043eed4c5849b,top8,0.5,0.5,0.5,0.5
capsules,c8c14f6187a0f1c4e341d7e2,grid8,0.0,0.0,0.0,0.0
capsules,c8c14f6187a0f1c4e341d7e2,mixed8,1.0,1.0,1.0,1.0
capsules,c8c14f6187a0f1c4e341d7e2,top8,1.0,1.0,1.0,1.0
capsules,e290027671c01f76b8bcf690,grid8,1.0,1.0,1.0,1.0
capsules,e290027671c01f76b8bcf690,mixed8,1.0,1.0,1.0,1.0
capsules,e290027671c01f76b8bcf690,top8,1.0,1.0,1.0,1.0
capsules,e29e79ba3e27a55803f6acea,grid8,0.0,0.0,0.0,0.0
capsules,e29e79ba3e27a55803f6acea,mixed8,1.0,1.0,1.0,1.0
capsules,e29e79ba3e27a55803f6acea,top8,1.0,1.0,1.0,1.0
capsules,ec4e2218a0ba582042b6b5bb,grid8,0.0,0.0,0.0,0.0
capsules,ec4e2218a0ba582042b6b5bb,mixed8,1.0,1.0,1.0,1.0
capsules,ec4e2218a0ba582042b6b5bb,top8,1.0,1.0,1.0,1.0
capsules,ed4da152dc4341d6f32eed14,grid8,1.0,1.0,1.0,1.0
capsules,ed4da152dc4341d6f32eed14,mixed8,1.0,1.0,1.0,1.0
capsules,ed4da152dc4341d6f32eed14,top8,1.0,1.0,1.0,1.0
capsules,f101fd3229a85499e4a69947,grid8,1.0,1.0,1.0,1.0
capsules,f101fd3229a85499e4a69947,mixed8,1.0,1.0,1.0,1.0
capsules,f101fd3229a85499e4a69947,top8,1.0,1.0,1.0,1.0
capsules,fa8b1a5066d24b182917e091,grid8,0.4968944099378882,0.4968944099378882,0.0,0.0
capsules,fa8b1a5066d24b182917e091,mixed8,1.0,1.0,1.0,1.0
capsules,fa8b1a5066d24b182917e091,top8,1.0,1.0,1.0,1.0
chewinggum,01c91be7ff0cb9e3f109b773,grid8,0.7334222944225266,1.0,1.0,0.0
chewinggum,01c91be7ff0cb9e3f109b773,mixed8,1.0,1.0,1.0,1.0
chewinggum,01c91be7ff0cb9e3f109b773,top8,1.0,1.0,1.0,1.0
chewinggum,0656dd5366d7e40d22f6acab,grid8,0.670547147846333,0.670547147846333,1.0,0.0
chewinggum,0656dd5366d7e40d22f6acab,mixed8,1.0,1.0,1.0,1.0
chewinggum,0656dd5366d7e40d22f6acab,top8,1.0,1.0,1.0,1.0
chewinggum,06b0186aca1c70e236744d28,grid8,1.0,1.0,1.0,1.0
chewinggum,06b0186aca1c70e236744d28,mixed8,1.0,1.0,1.0,1.0
chewinggum,06b0186aca1c70e236744d28,top8,1.0,1.0,1.0,1.0
chewinggum,0ca74c4813d20d80df7541b2,grid8,0.0,0.0,0.0,0.0
chewinggum,0ca74c4813d20d80df7541b2,mixed8,1.0,1.0,1.0,1.0
chewinggum,0ca74c4813d20d80df7541b2,top8,1.0,1.0,1.0,1.0
chewinggum,0de49ef61d0bd6bccf204ccc,grid8,0.0,0.0,0.0,0.0
chewinggum,0de49ef61d0bd6bccf204ccc,mixed8,1.0,1.0,1.0,1.0
chewinggum,0de49ef61d0bd6bccf204ccc,top8,1.0,1.0,1.0,1.0
chewinggum,14071f493f44fe45e4e06ab9,grid8,0.0,0.0,0.0,0.0
chewinggum,14071f493f44fe45e4e06ab9,mixed8,1.0,1.0,1.0,1.0
chewinggum,14071f493f44fe45e4e06ab9,top8,1.0,1.0,1.0,1.0
chewinggum,16586200efa0c514159f57b9,grid8,0.5531697341513292,0.5531697341513292,1.0,0.0
chewinggum,16586200efa0c514159f57b9,mixed8,1.0,1.0,1.0,1.0
chewinggum,16586200efa0c514159f57b9,top8,1.0,1.0,1.0,1.0
chewinggum,28ab490ec39dbee5492f45e3,grid8,0.0,0.0,0.0,0.0
chewinggum,28ab490ec39dbee5492f45e3,mixed8,1.0,1.0,1.0,1.0
chewinggum,28ab490ec39dbee5492f45e3,top8,1.0,1.0,1.0,1.0
chewinggum,2f3f1dded7b308e1144f5993,grid8,1.0,1.0,1.0,1.0
chewinggum,2f3f1dded7b308e1144f5993,mixed8,1.0,1.0,1.0,1.0
chewinggum,2f3f1dded7b308e1144f5993,top8,1.0,1.0,1.0,1.0
chewinggum,349a6a13625d07784818747e,grid8,0.9005576208178439,1.0,1.0,0.5
chewinggum,349a6a13625d07784818747e,mixed8,1.0,1.0,1.0,1.0
