image_id,category,stratum,component_id,kind,method,best_window_coverage,union_coverage,recalled50,recalled90
fa8b1a5066d24b182917e091,capsules,mixed_tiny,1,larger,top8,1.0,1.0,True,True
fa8b1a5066d24b182917e091,capsules,mixed_tiny,2,tiny_compact,top8,1.0,1.0,True,True
fa8b1a5066d24b182917e091,capsules,mixed_tiny,3,larger,top8,1.0,1.0,True,True
fa8b1a5066d24b182917e091,capsules,mixed_tiny,1,larger,grid8,0.968281797896079,0.968281797896079,True,True
fa8b1a5066d24b182917e091,capsules,mixed_tiny,2,tiny_compact,grid8,0.4968944099378882,0.4968944099378882,False,False
fa8b1a5066d24b182917e091,capsules,mixed_tiny,3,larger,grid8,0.0,0.0,False,False
fa8b1a5066d24b182917e091,capsules,mixed_tiny,1,larger,mixed8,1.0,1.0,True,True
fa8b1a5066d24b182917e091,capsules,mixed_tiny,2,tiny_compact,mixed8,1.0,1.0,True,True
fa8b1a5066d24b182917e091,capsules,mixed_tiny,3,larger,mixed8,1.0,1.0,True,True
1aea693e1f4615c67d9117cd,capsules,other_anomaly,1,larger,top8,1.0,1.0,True,True
1aea693e1f4615c67d9117cd,capsules,other_anomaly,2,larger,top8,1.0,1.0,True,True
1aea693e1f4615c67d9117cd,capsules,other_anomaly,1,larger,grid8,0.0,0.0,False,False
1aea693e1f4615c67d9117cd,capsules,other_anomaly,2,larger,grid8,0.0,0.0,False,False
1aea693e1f4615c67d9117cd,capsules,other_anomaly,1,larger,mixed8,1.0,1.0,True,True
1aea693e1f4615c67d9117cd,capsules,other_anomaly,2,larger,mixed8,1.0,1.0,True,True
074325c08472083d737fcba6,capsules,other_anomaly,1,larger,top8,1.0,1.0,True,True
074325c08472083d737fcba6,capsules,other_anomaly,2,larger,top8,1.0,1.0,True,True
074325c08472083d737fcba6,capsules,other_anomaly,1,larger,grid8,0.0,0.0,False,False
074325c08472083d737fcba6,capsules,other_anomaly,2,larger,grid8,0.0,0.0,False,False
074325c08472083d737fcba6,capsules,other_anomaly,1,larger,mixed8,1.0,1.0,True,True
074325c08472083d737fcba6,capsules,other_anomaly,2,larger,mixed8,1.0,1.0,True,True
2a7e6ad0e13612f0c7fcb2d0,capsules,other_anomaly,1,larger,top8,1.0,1.0,True,True
2a7e6ad0e13612f0c7fcb2d0,capsules,other_anomaly,2,larger,top8,1.0,1.0,True,True
2a7e6ad0e13612f0c7fcb2d0,capsules,other_anomaly,1,larger,grid8,0.9732722413134784,0.9732722413134784,True,True
2a7e6ad0e13612f0c7fcb2d0,capsules,other_anomaly,2,larger,grid8,1.0,1.0,True,True
2a7e6ad0e13612f0c7fcb2d0,capsules,other_anomaly,1,larger,mixed8,1.0,1.0,True,True
2a7e6ad0e13612f0c7fcb2d0,capsules,other_anomaly,2,larger,mixed8,1.0,1.0,True,True
fdc91d030e27f69309e2cc82,capsules,other_anomaly,1,larger,top8,1.0,1.0,True,True
fdc91d030e27f69309e2cc82,capsules,other_anomaly,2,larger,top8,1.0,1.0,True,True
fdc91d030e27f69309e2cc82,capsules,other_anomaly,1,larger,grid8,1.0,1.0,True,True
fdc91d030e27f69309e2cc82,capsules,other_anomaly,2,larger,grid8,1.0,1.0,True,True
fdc91d030e27f69309e2cc82,capsules,other_anomaly,1,larger,mixed8,1.0,1.0,True,True
fdc91d030e27f69309e2cc82,capsules,other_anomaly,2,larger,mixed8,1.0,1.0,True,True
c6a064efd1864d8a74744a35,capsules,other_anomaly,1,larger,top8,1.0,1.0,True,True
c6a064efd1864d8a74744a35,capsules,other_anomaly,2,larger,top8,1.0,1.0,True,True
c6a064efd1864d8a74744a35,capsules,other_anomaly,1,larger,grid8,0.8282086393626291,0.8282086393626291,True,False
c6a064efd1864d8a74744a35,capsules,other_anomaly,2,larger,grid8,1.0,1.0,True,True
c6a064efd1864d8a74744a35,capsules,other_anomaly,1,larger,mixed8,1.0,1.0,True,True
c6a064efd1864d8a74744a35,capsules,other_anomaly,2,larger,mixed8,1.0,1.0,True,True
edb69f8b12ecaa270a8cd4f2,capsules,other_anomaly,1,larger,top8,1.0,1.0,True,True
edb69f8b12ecaa270a8cd4f2,capsules,other_anomaly,2,larger,top8,1.0,1.0,True,True
edb69f8b12ecaa270a8cd4f2,capsules,other_anomaly,1,larger,grid8,0.22195985832349469,0.24935064935064935,False,False
edb69f8b12ecaa270a8cd4f2,capsules,other_anomaly,2,larger,grid8,0.0,0.0,False,False
edb69f8b12ecaa270a8cd4f2,capsules,other_anomaly,1,larger,mixed8,1.0,1.0,True,True
edb69f8b12ecaa270a8cd4f2,capsules,other_anomaly,2,larger,mixed8,1.0,1.0,True,True
367825824fbf202a48c58ab2,capsules,mixed_tiny,1,larger,top8,1.0,1.0,True,True
367825824fbf202a48c58ab2,capsules,mixed_tiny,2,tiny_compact,top8,1.0,1.0,True,True
367825824fbf202a48c58ab2,capsules,mixed_tiny,3,larger,top8,1.0,1.0,True,True
367825824fbf202a48c58ab2,capsules,mixed_tiny,4,tiny_compact,top8,1.0,1.0,True,True
367825824fbf202a48c58ab2,capsules,mixed_tiny,5,tiny_compact,top8,1.0,1.0,True,True
367825824fbf202a48c58ab2,capsules,mixed_tiny,1,larger,grid8,0.0,0.0,False,False
367825824fbf202a48c58ab2,capsules,mixed_tiny,2,tiny_compact,grid8,0.0,0.0,False,False
367825824fbf202a48c58ab2,capsules,mixed_tiny,3,larger,grid8,0.0,0.0,False,False
367825824fbf202a48c58ab2,capsules,mixed_tiny,4,tiny_compact,grid8,0.0,0.0,False,False
367825824fbf202a48c58ab2,capsules,mixed_tiny,5,tiny_compact,grid8,0.0,0.0,False,False
367825824fbf202a48c58ab2,capsules,mixed_tiny,1,larger,mixed8,1.0,1.0,True,True
367825824fbf202a48c58ab2,capsules,mixed_tiny,2,tiny_compact,mixed8,1.0,1.0,True,True
367825824fbf202a48c58ab2,capsules,mixed_tiny,3,larger,mixed8,1.0,1.0,True,True
367825824fbf202a48c58ab2,capsules,mixed_tiny,4,tiny_compact,mixed8,1.0,1.0,True,True
367825824fbf202a48c58ab2,capsules,mixed_tiny,5,tiny_compact,mixed8,1.0,1.0,True,True
7c1b1c4c5673ab73918750cb,capsules,other_anomaly,1,larger,top8,1.0,1.0,True,True
7c1b1c4c5673ab73918750cb,capsules,other_anomaly,2,larger,top8,1.0,1.0,True,True
7c1b1c4c5673ab73918750cb,capsules,other_anomaly,1,larger,grid8,0.40467201510146295,0.40467201510146295,False,False
7c1b1c4c5673ab73918750cb,capsules,other_anomaly,2,larger,grid8,0.32967032967032966,0.32967032967032966,False,False
7c1b1c4c5673ab73918750cb,capsules,other_anomaly,1,larger,mixed8,1.0,1.0,True,True
7c1b1c4c5673ab73918750cb,capsules,other_anomaly,2,larger,mixed8,1.0,1.0,True,True
49d11e476e0c779cef4550b9,capsules,other_anomaly,1,larger,top8,1.0,1.0,True,True
49d11e476e0c779cef4550b9,capsules,other_anomaly,1,larger,grid8,0.40054687823673196,0.6148237146289929,False,False
49d11e476e0c779cef4550b9,capsules,other_anomaly,1,larger,mixed8,1.0,1.0,True,True
39e7cd68f53b712ca8b8f1df,capsules,other_anomaly,1,larger,top8,0.9752677294450065,1.0,True,True
39e7cd68f53b712ca8b8f1df,capsules,other_anomaly,1,larger,grid8,0.8132696131440332,1.0,True,False
39e7cd68f53b712ca8b8f1df,capsules,other_anomaly,1,larger,mixed8,0.9752677294450065,1.0,True,True
928c5a36a36da37b5f9d1f90,capsules,other_anomaly,1,larger,top8,1.0,1.0,True,True
928c5a36a36da37b5f9d1f90,capsules,other_anomaly,2,larger,top8,1.0,1.0,True,True
928c5a36a36da37b5f9d1f90,capsules,other_anomaly,1,larger,grid8,0.0,0.0,False,False
928c5a36a36da37b5f9d1f90,capsules,other_anomaly,2,larger,grid8,0.0,0.0,False,False
928c5a36a36da37b5f9d1f90,capsules,other_anomaly,1,larger,mixed8,1.0,1.0,True,True
928c5a36a36da37b5f9d1f90,capsules,other_anomaly,2,larger,mixed8,1.0,1.0,True,True
d579527da6cfe5dbe0a1e2ca,capsules,other_anomaly,1,larger,top8,0.9994036081705681,0.9994036081705681,True,True
d579527da6cfe5dbe0a1e2ca,capsules,other_anomaly,1,larger,grid8,0.7632697182048606,0.9835246757119428,True,False
d579527da6cfe5dbe0a1e2ca,capsules,other_anomaly,1,larger,mixed8,0.9994036081705681,0.9994036081705681,True,True
8eb64ff5814eafd0aa3f1144,capsules,other_anomaly,1,larger,top8,1.0,1.0,True,True
8eb64ff5814eafd0aa3f1144,capsules,other_anomaly,2,larger,top8,1.0,1.0,True,True
8eb64ff5814eafd0aa3f1144,capsules,other_anomaly,1,larger,grid8,0.706640625,1.0,True,False
8eb64ff5814eafd0aa3f1144,capsules,other_anomaly,2,larger,grid8,0.6588038632986627,0.9047176820208024,True,False
8eb64ff5814eafd0aa3f1144,capsules,other_anomaly,1,larger,mixed8,1.0,1.0,True,True
8eb64ff5814eafd0aa3f1144,capsules,other_anomaly,2,larger,mixed8,1.0,1.0,True,True
f4204410b976824fb49a7187,capsules,other_anomaly,1,larger,top8,1.0,1.0,True,True
f4204410b976824fb49a7187,capsules,other_anomaly,2,larger,top8,1.0,1.0,True,True
f4204410b976824fb49a7187,capsules,other_anomaly,1,larger,grid8,1.0,1.0,True,True
f4204410b976824fb49a7187,capsules,other_anomaly,2,larger,grid8,1.0,1.0,True,True
f4204410b976824fb49a7187,capsules,other_anomaly,1,larger,mixed8,1.0,1.0,True,True
f4204410b976824fb49a7187,capsules,other_anomaly,2,larger,mixed8,1.0,1.0,True,True
c6422a5d81dfc9f98364e959,capsules,other_anomaly,1,larger,top8,1.0,1.0,True,True
c6422a5d81dfc9f98364e959,capsules,other_anomaly,2,larger,top8,1.0,1.0,True,True
c6422a5d81dfc9f98364e959,capsules,other_anomaly,1,larger,grid8,0.2,0.33269654665686993,False,False
c6422a5d81dfc9f98364e959,capsules,other_anomaly,2,larger,grid8,0.5162105889351577,1.0,True,False
c6422a5d81dfc9f98364e959,capsules,other_anomaly,1,larger,mixed8,1.0,1.0,True,True
c6422a5d81dfc9f98364e959,capsules,other_anomaly,2,larger,mixed8,1.0,1.0,True,True
8a082ff8154b35e3ddade297,capsules,other_anomaly,1,larger,top8,0.8621139625924314,1.0,True,False
8a082ff8154b35e3ddade297,capsules,other_anomaly,1,larger,grid8,0.11570247933884298,0.11570247933884298,False,False
8a082ff8154b35e3ddade297,capsules,other_anomaly,1,larger,mixed8,0.8621139625924314,1.0,True,False
38e48d375151c434affdea91,capsules,other_anomaly,1,larger,top8,0.8399779870368106,1.0,True,False
38e48d375151c434affdea91,capsules,other_anomaly,1,larger,grid8,0.9697933227344993,0.999816558640088,True,True
38e48d375151c434affdea91,capsules,other_anomaly,1,larger,mixed8,0.8399779870368106,1.0,True,False
cd0b7ac8eb7457bdf41f885a,capsules,other_anomaly,1,larger,top8,1.0,1.0,True,True
cd0b7ac8eb7457bdf41f885a,capsules,other_anomaly,1,larger,grid8,1.0,1.0,True,True
cd0b7ac8eb7457bdf41f885a,capsules,other_anomaly,1,larger,mixed8,1.0,1.0,True,True
ec5a449b5eefaff119825918,capsules,other_anomaly,1,larger,top8,1.0,1.0,True,True
ec5a449b5eefaff119825918,capsules,other_anomaly,1,larger,grid8,0.3482037110146072,0.5448578760363205,False,False
ec5a449b5eefaff119825918,capsules,other_anomaly,1,larger,mixed8,1.0,1.0,True,True
0e3e18366515ae2514a8e77d,capsules,other_anomaly,1,larger,top8,1.0,1.0,True,True
0e3e18366515ae2514a8e77d,capsules,other_anomaly,1,larger,grid8,0.4430274708477093,0.4430274708477093,False,False
0e3e18366515ae2514a8e77d,capsules,other_anomaly,1,larger,mixed8,1.0,1.0,True,True
