backbone,strategy,eval_mode,debiased_method,num_images,num_normal,num_anomaly,candidate_coverage,auroc,ap,best_f1,best_accuracy,best_threshold,vlm_only_auroc,vlm_only_ap,vlm_only_best_f1,vlm_only_best_accuracy,delta_auroc_vs_vlm,delta_ap_vs_vlm,delta_best_f1_vs_vlm,delta_accuracy_vs_vlm
FastFlow,inspection_binary,crop_topk_ensemble,candidate_quality_original,2162,962,1200,0.5550416281221091,0.995,0.9976415131558318,0.9949748743718593,0.9944495837187789,0.0456892863517778,0.9269204781704782,0.9484560052132687,0.8768916155419223,0.8607770582793709,0.06807952182952182,0.049185507942563156,0.11808325882993698,0.133672525439408
FastFlow,inspection_binary,crop_topk_ensemble,qcr_u_original_detector_aware,2162,962,1200,0.5550416281221091,0.989772176022176,0.9924830451557047,0.9581239530988275,0.9537465309898242,0.3566041414891905,0.9269204781704782,0.9484560052132687,0.8768916155419223,0.8607770582793709,0.06285169785169786,0.044027039942436064,0.08123233755690518,0.0929694727104533
FastFlow,inspection_binary,crop_topk_ensemble,qcr_u_original_fixed,2162,962,1200,0.5550416281221091,0.9806271656271657,0.9865371896829025,0.9427860696517413,0.9361702127659575,0.3355272100635178,0.9269204781704782,0.9484560052132687,0.8768916155419223,0.8607770582793709,0.053706687456687496,0.03808118446963382,0.06589445410981898,0.07539315448658657
FastFlow,inspection_binary,crop_topk_ensemble,qcr_u_neutral_q_detector_aware,2162,962,1200,0.5550416281221091,0.959551282051282,0.9716165621016454,0.910655737704918,0.8991674375578168,0.39155165026864314,0.9269204781704782,0.9484560052132687,0.8768916155419223,0.8607770582793709,0.03263080388080386,0.023160556888376704,0.033764122162995736,0.03839037927844591
FastFlow,inspection_binary,crop_topk_ensemble,qcr_u_no_q_detector_aware,2162,962,1200,0.5550416281221091,0.9559554747054747,0.968712465360689,0.9089424254797877,0.896854764107308,0.36113105521989985,0.9269204781704782,0.9484560052132687,0.8768916155419223,0.8607770582793709,0.029034996534996527,0.02025646014742033,0.032050809937865354,0.03607770582793712
FastFlow,inspection_binary,crop_topk_ensemble,qcr_u_neutral_q_fixed,2162,962,1200,0.5550416281221091,0.9411694386694387,0.9593771146276379,0.8883455582722086,0.8732654949121184,0.375276704919327,0.9269204781704782,0.9484560052132687,0.8768916155419223,0.8607770582793709,0.014248960498960517,0.01092110941436919,0.011453942730286326,0.012488436632747457
FastFlow,inspection_binary,crop_topk_ensemble,qcr_u_no_q_fixed,2162,962,1200,0.5550416281221091,0.931509009009009,0.9525339282856172,0.8812166050143855,0.866327474560592,0.3420285991178291,0.9269204781704782,0.9484560052132687,0.8768916155419223,0.8607770582793709,0.004588530838530835,0.004077923072348555,0.004324989472463181,0.005550416281221104
FastFlow,inspection_binary,crop_topk_ensemble,vlm_only,2162,962,1200,0.5550416281221091,0.9269204781704782,0.9484560052132687,0.8768916155419223,0.8607770582793709,0.3505287264455456,0.9269204781704782,0.9484560052132687,0.8768916155419223,0.8607770582793709,0.0,0.0,0.0,0.0
FastFlow,inspection_binary,crop_topk_ensemble,detector_only,2162,962,1200,0.5550416281221091,0.8954946292446292,0.9197617517603836,0.8447507093635995,0.8228492136910268,0.3807406444496714,0.9269204781704782,0.9484560052132687,0.8768916155419223,0.8607770582793709,-0.03142584892584899,-0.02869425345288512,-0.03214090617832277,-0.037927844588344084
FastFlow,inspection_binary,crop_topk_ensemble,candidate_quality_neutral,2162,962,1200,0.5550416281221091,0.725,0.8672569857596354,0.8405797101449275,0.84736355226642,0.5000981140807861,0.9269204781704782,0.9484560052132687,0.8768916155419223,0.8607770582793709,-0.2019204781704782,-0.08119901945363328,-0.036311905396994804,-0.013413506012950882
FastFlow,inspection_binary,full_all,candidate_quality_original,2162,962,1200,0.5550416281221091,0.995,0.9976415131558318,0.9949748743718593,0.9944495837187789,0.0456892863517778,0.5890609840609841,0.6318976292562584,0.7138607971445569,0.5550416281221091,0.40593901593901593,0.36574388389957346,0.2811140772273024,0.4394079555966698
FastFlow,inspection_binary,full_all,detector_only,2162,962,1200,0.5550416281221091,0.8954946292446292,0.9197617517603836,0.8447507093635995,0.8228492136910268,0.3807406444496714,0.5890609840609841,0.6318976292562584,0.7138607971445569,0.5550416281221091,0.30643364518364513,0.2878641225041252,0.13088991221904267,0.2678075855689177
FastFlow,inspection_binary,full_all,qcr_u_original_detector_aware,2162,962,1200,0.5550416281221091,0.8748224185724186,0.8989950536795248,0.8259015122140364,0.7923219241443108,0.34962687451128893,0.5890609840609841,0.6318976292562584,0.7138607971445569,0.5550416281221091,0.28576143451143454,0.26709742442326645,0.11204071506947955,0.2372802960222017
FastFlow,inspection_binary,full_all,qcr_u_original_fixed,2162,962,1200,0.5550416281221091,0.808225051975052,0.8430586487011158,0.7816610296880872,0.7312673450508789,0.3271757354135595,0.5890609840609841,0.6318976292562584,0.7138607971445569,0.5550416281221091,0.21916406791406795,0.21116101944485743,0.06780023254353029,0.17622571692876976
