backbone,strategy,eval_mode,fusion_method,category,num_images,num_normal,num_anomaly,has_both_classes,candidate_coverage,auroc,ap,best_f1,best_accuracy,best_threshold,vlm_only_auroc,vlm_only_ap,vlm_only_best_f1,vlm_only_best_accuracy,delta_auroc_vs_vlm,delta_ap_vs_vlm,delta_best_f1_vs_vlm,delta_accuracy_vs_vlm
FastFlow,inspection_binary,crop_or_full,detector_only,pipe_fryum,150,50,100,True,0.6666666666666666,0.9714,0.9861322585320341,0.9359605911330049,0.9133333333333333,0.3486240291703347,0.7382,0.8730905015171624,0.8,0.6666666666666666,0.23320000000000007,0.11304175701487174,0.13596059113300485,0.2466666666666667
FastFlow,inspection_binary,crop_or_full,qcr_u_detector_aware,pipe_fryum,150,50,100,True,0.6666666666666666,0.9626,0.9827856396656017,0.93,0.9066666666666666,0.2911847180802309,0.7382,0.8730905015171624,0.8,0.6666666666666666,0.22440000000000004,0.10969513814843934,0.13,0.24
FastFlow,inspection_binary,crop_or_full,vlm_detector_avg,pipe_fryum,150,50,100,True,0.6666666666666666,0.9254,0.9676518098100346,0.9052631578947369,0.88,0.3783182198405032,0.7382,0.8730905015171624,0.8,0.6666666666666666,0.18720000000000003,0.09456130829287224,0.10526315789473684,0.21333333333333337
FastFlow,inspection_binary,crop_or_full,qcr_u_fixed,pipe_fryum,150,50,100,True,0.6666666666666666,0.9046,0.9583387720252702,0.8762886597938144,0.84,0.2937474262334421,0.7382,0.8730905015171624,0.8,0.6666666666666666,0.1664,0.08524827050810779,0.07628865979381438,0.17333333333333334
FastFlow,inspection_binary,crop_or_full,vlm_only,pipe_fryum,150,50,100,True,0.6666666666666666,0.7382,0.8730905015171624,0.8,0.6666666666666666,0.0,0.7382,0.8730905015171624,0.8,0.6666666666666666,0.0,0.0,0.0,0.0
FastFlow,inspection_binary,crop_topk_ensemble,qcr_u_detector_aware,candle,200,100,100,True,0.5,0.9977,0.9980634527089072,0.99,0.99,0.3121789495180764,0.9661,0.9707877167393193,0.9230769230769231,0.92,0.03160000000000007,0.027275735969587878,0.06692307692307686,0.06999999999999995
FastFlow,inspection_binary,crop_topk_ensemble,candidate_quality_only,candle,200,100,100,True,0.5,0.995,1.0,0.9949748743718593,0.995,0.1719393430515501,0.9661,0.9707877167393193,0.9230769230769231,0.92,0.028900000000000037,0.029212283260680705,0.07189795129493615,0.07499999999999996
FastFlow,inspection_binary,crop_topk_ensemble,qcr_u_fixed,candle,200,100,100,True,0.5,0.992,0.9949939771822652,0.9850746268656716,0.985,0.2959275580364399,0.9661,0.9707877167393193,0.9230769230769231,0.92,0.025900000000000034,0.024206260442945937,0.06199770378874847,0.06499999999999995
FastFlow,inspection_binary,crop_topk_ensemble,vlm_detector_avg,candle,200,100,100,True,0.5,0.9914,0.9934688048371256,0.9746192893401016,0.975,0.3978812151853965,0.9661,0.9707877167393193,0.9230769230769231,0.92,0.02529999999999999,0.022681088097806335,0.05154236626317843,0.05499999999999994
FastFlow,inspection_binary,crop_topk_ensemble,vlm_only,candle,200,100,100,True,0.5,0.9661,0.9707877167393193,0.9230769230769231,0.92,0.269991700224405,0.9661,0.9707877167393193,0.9230769230769231,0.92,0.0,0.0,0.0,0.0
FastFlow,inspection_binary,crop_topk_ensemble,detector_only,candle,200,100,100,True,0.5,0.9638,0.9659291762956387,0.9154228855721394,0.915,0.5039169373442006,0.9661,0.9707877167393193,0.9230769230769231,0.92,-0.0022999999999999687,-0.0048585404436806146,-0.007654037504783773,-0.0050000000000000044
FastFlow,inspection_binary,crop_topk_ensemble,vlm_only,capsules,160,60,100,True,0.625,1.0,1.0,1.0,1.0,0.3805954723879157,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
FastFlow,inspection_binary,crop_topk_ensemble,vlm_detector_avg,capsules,160,60,100,True,0.625,1.0,1.0,1.0,1.0,0.468173490683238,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
FastFlow,inspection_binary,crop_topk_ensemble,qcr_u_fixed,capsules,160,60,100,True,0.625,1.0,1.0,1.0,1.0,0.4724540238409701,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
FastFlow,inspection_binary,crop_topk_ensemble,qcr_u_detector_aware,capsules,160,60,100,True,0.625,1.0,1.0,1.0,1.0,0.4510002145260383,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
FastFlow,inspection_binary,crop_topk_ensemble,candidate_quality_only,capsules,160,60,100,True,0.625,0.995,1.0,0.9949748743718593,0.99375,0.0810847236964087,1.0,1.0,1.0,1.0,-0.0050000000000000044,0.0,-0.005025125628140725,-0.006249999999999978
FastFlow,inspection_binary,crop_topk_ensemble,detector_only,capsules,160,60,100,True,0.625,0.7574166666666666,0.8703558616056573,0.7747035573122529,0.64375,0.1002806539074088,1.0,1.0,1.0,1.0,-0.24258333333333337,-0.12964413839434275,-0.22529644268774707,-0.35624999999999996
FastFlow,inspection_binary,crop_topk_ensemble,vlm_only,cashew,150,50,100,True,0.6666666666666666,1.0,1.0,1.0,1.0,0.4893006028251803,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
FastFlow,inspection_binary,crop_topk_ensemble,vlm_detector_avg,cashew,150,50,100,True,0.6666666666666666,1.0,1.0,1.0,1.0,0.4710296413386688,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
FastFlow,inspection_binary,crop_topk_ensemble,qcr_u_fixed,cashew,150,50,100,True,0.6666666666666666,1.0,1.0,1.0,1.0,0.5297396179961529,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
FastFlow,inspection_binary,crop_topk_ensemble,qcr_u_detector_aware,cashew,150,50,100,True,0.6666666666666666,1.0,1.0,1.0,1.0,0.4946168084470995,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
FastFlow,inspection_binary,crop_topk_ensemble,candidate_quality_only,cashew,150,50,100,True,0.6666666666666666,0.995,1.0,0.9949748743718593,0.9933333333333333,0.2404036964837383,1.0,1.0,1.0,1.0,-0.0050000000000000044,0.0,-0.005025125628140725,-0.00666666666666671
