backbone,strategy,eval_mode,fusion_method,num_images,num_normal,num_anomaly,coverage_ratio,auroc,ap,best_f1,best_accuracy,best_threshold,vlm_only_auroc,vlm_only_ap,vlm_only_best_f1,vlm_only_best_accuracy,delta_auroc_vs_vlm,delta_ap_vs_vlm,delta_best_f1_vs_vlm,delta_accuracy_vs_vlm
FastFlow,inspection_binary,crop_topk_ensemble,vlm_only,2162,962,1200,0.5550416281221091,0.9269204781704782,0.9484560052132687,0.8768916155419223,0.8607770582793709,0.35052872644554567,0.9269204781704782,0.9484560052132687,0.8768916155419223,0.8607770582793709,0.0,0.0,0.0,0.0
FastFlow,inspection_binary,crop_topk_ensemble,detector_only,2162,962,1200,0.5550416281221091,0.8954946292446292,0.9197617517603836,0.8447507093635995,0.8228492136910268,0.38074064444967143,0.9269204781704782,0.9484560052132687,0.8768916155419223,0.8607770582793709,-0.03142584892584899,-0.02869425345288512,-0.03214090617832277,-0.037927844588344084
FastFlow,inspection_binary,full_all,candidate_quality_only,2162,962,1200,0.5550416281221091,0.995,0.9976415131558318,0.9949748743718593,0.9944495837187789,0.04568928635177784,0.5890609840609841,0.6318976292562584,0.7138607971445569,0.5550416281221091,0.40593901593901593,0.36574388389957346,0.2811140772273024,0.4394079555966698
FastFlow,inspection_binary,full_all,detector_only,2162,962,1200,0.5550416281221091,0.8954946292446292,0.9197617517603836,0.8447507093635995,0.8228492136910268,0.38074064444967143,0.5890609840609841,0.6318976292562584,0.7138607971445569,0.5550416281221091,0.30643364518364513,0.2878641225041252,0.13088991221904267,0.2678075855689177
FastFlow,inspection_binary,full_all,qcr_u_detector_aware,2162,962,1200,0.5550416281221091,0.8748224185724186,0.8989950536795248,0.8259015122140364,0.7923219241443108,0.349626874511289,0.5890609840609841,0.6318976292562584,0.7138607971445569,0.5550416281221091,0.28576143451143454,0.26709742442326645,0.11204071506947955,0.2372802960222017
FastFlow,inspection_binary,full_all,qcr_u_fixed,2162,962,1200,0.5550416281221091,0.808225051975052,0.8430586487011158,0.7816610296880872,0.7312673450508789,0.32717573541355954,0.5890609840609841,0.6318976292562584,0.7138607971445569,0.5550416281221091,0.21916406791406795,0.21116101944485743,0.06780023254353029,0.17622571692876976
FastFlow,inspection_binary,full_all,vlm_detector_avg,2162,962,1200,0.5550416281221091,0.769520097020097,0.8023752024288128,0.7633977397010573,0.6998149861239593,0.36171734219770013,0.5890609840609841,0.6318976292562584,0.7138607971445569,0.5550416281221091,0.180459112959113,0.1704775731725544,0.04953694255650043,0.1447733580018502
FastFlow,inspection_binary,full_all,vlm_only,2162,962,1200,0.5550416281221091,0.5890609840609841,0.6318976292562584,0.7138607971445569,0.5550416281221091,0.0,0.5890609840609841,0.6318976292562584,0.7138607971445569,0.5550416281221091,0.0,0.0,0.0,0.0
PatchCore,category_binary,crop_or_full,candidate_quality_only,2162,962,1200,0.5550416281221091,0.995,0.9976415131558318,0.9949748743718593,0.9944495837187789,0.0011839024513291066,0.7820014726264726,0.7847863296805819,0.7743237787646347,0.7414431082331174,0.21299852737352742,0.2128551834752499,0.22065109560722462,0.25300647548566146
PatchCore,category_binary,crop_or_full,qcr_u_detector_aware,2162,962,1200,0.5550416281221091,0.9198613998613998,0.9345421103438809,0.8797770700636943,0.8603145235892692,0.3241718621321676,0.7820014726264726,0.7847863296805819,0.7743237787646347,0.7414431082331174,0.13785992723492724,0.14975578066329898,0.10545329129905967,0.11887141535615176
PatchCore,category_binary,crop_or_full,detector_only,2162,962,1200,0.5550416281221091,0.9131098406098406,0.9259251283102992,0.8605769230769231,0.8390379278445883,0.23427656397170737,0.7820014726264726,0.7847863296805819,0.7743237787646347,0.7414431082331174,0.131108367983368,0.14113879862971723,0.08625314431228848,0.09759481961147087
PatchCore,category_binary,crop_or_full,qcr_u_fixed,2162,962,1200,0.5550416281221091,0.8833922383922383,0.9037449178339131,0.851063829787234,0.8316373728029602,0.35124278825439464,0.7820014726264726,0.7847863296805819,0.7743237787646347,0.7414431082331174,0.10139076576576578,0.11895858815333116,0.0767400510225994,0.09019426456984281
PatchCore,category_binary,crop_or_full,vlm_detector_avg,2162,962,1200,0.5550416281221091,0.879478516978517,0.8948326397717733,0.8437001594896332,0.818686401480111,0.3753243174565766,0.7820014726264726,0.7847863296805819,0.7743237787646347,0.7414431082331174,0.0974770443520444,0.11004631009119137,0.06937638072499852,0.07724329324699353
PatchCore,category_binary,crop_or_full,vlm_only,2162,962,1200,0.5550416281221091,0.7820014726264726,0.7847863296805819,0.7743237787646347,0.7414431082331174,0.40733473163295597,0.7820014726264726,0.7847863296805819,0.7743237787646347,0.7414431082331174,0.0,0.0,0.0,0.0
PatchCore,category_binary,crop_topk_ensemble,candidate_quality_only,2162,962,1200,0.5550416281221091,0.995,0.9976415131558318,0.9949748743718593,0.9944495837187789,0.0011839024513291066,0.7991363478863479,0.7987814423344652,0.7910386965376782,0.7627197039777983,0.1958636521136521,0.19886007082136659,0.20393617783418105,0.23172987974098058
PatchCore,category_binary,crop_topk_ensemble,qcr_u_detector_aware,2162,962,1200,0.5550416281221091,0.9299592862092863,0.9419447632506713,0.8892405063291139,0.8704902867715079,0.3241718621321676,0.7991363478863479,0.7987814423344652,0.7910386965376782,0.7627197039777983,0.13082293832293834,0.1431633209162061,0.09820180979143567,0.10777058279370955
PatchCore,category_binary,crop_topk_ensemble,detector_only,2162,962,1200,0.5550416281221091,0.9131098406098406,0.9259251283102992,0.8605769230769231,0.8390379278445883,0.23427656397170737,0.7991363478863479,0.7987814423344652,0.7910386965376782,0.7627197039777983,0.11397349272349266,0.12714368597583392,0.06953822653924491,0.07631822386678999
PatchCore,category_binary,crop_topk_ensemble,qcr_u_fixed,2162,962,1200,0.5550416281221091,0.8947487872487873,0.9124701184927949,0.8615509541209907,0.8422756706753006,0.35124278825439464,0.7991363478863479,0.7987814423344652,0.7910386965376782,0.7627197039777983,0.09561243936243935,0.11368867615832967,0.07051225758331248,0.07955596669750231
