category,method,value,keep_largest,num_samples,mean_iou,mean_f1,mean_pred_area,mean_threshold
screw,fixed,0.7,True,60,0.20103322200833454,0.3002616552761245,1020.8833333333333,0.7000000000000003
screw,fixed,0.75,False,60,0.2398251413626658,0.35595697024164447,1037.4833333333333,0.75
screw,fixed,0.75,True,60,0.24032020331200715,0.3474075663636706,784.8666666666667,0.75
screw,fixed,0.7999999999999999,False,60,0.26770504237751197,0.3877395269865232,731.5333333333333,0.7999999999999997
screw,fixed,0.7999999999999999,True,60,0.272530542048459,0.3859091776310413,577.2833333333333,0.7999999999999997
screw,fixed,0.85,False,60,0.2806462547114884,0.4024324777078432,491.3666666666667,0.85
screw,fixed,0.85,True,60,0.27729848177176286,0.3891637964882557,404.01666666666665,0.85
screw,fixed,0.9,False,60,0.26571433782727005,0.382810018882394,289.28333333333336,0.9
screw,fixed,0.9,True,60,0.2603777181333844,0.3698904119631701,250.85,0.9
screw,fixed,0.95,False,60,0.1830400530890088,0.28198820944408165,124.21666666666667,0.9500000000000003
screw,fixed,0.95,True,60,0.17746348191032968,0.2711734686693489,114.33333333333333,0.9500000000000003
screw,percentile,90.0,False,60,0.04621327126502253,0.0872466400513658,5018.0,0.4951970547437668
screw,percentile,90.0,True,60,0.06401174052785229,0.11484631939191385,2749.8333333333335,0.4951970547437668
screw,percentile,92.0,False,60,0.057530800954564296,0.10713769133183058,4015.0,0.5211198180913925
screw,percentile,92.0,True,60,0.07858486091121501,0.13862130019246735,2331.75,0.5211198180913925
screw,percentile,94.0,False,60,0.0760499646280969,0.138529578931854,3011.0,0.5574992527564366
screw,percentile,94.0,True,60,0.08986935451749964,0.15522757725975778,1898.1333333333334,0.5574992527564366
screw,percentile,95.0,False,60,0.09033924210399474,0.16175487726807367,2509.0,0.5808538357416789
screw,percentile,95.0,True,60,0.10471733569669119,0.17793958258144751,1672.3666666666666,0.5808538357416789
screw,percentile,96.0,False,60,0.11079517149725765,0.19356048480103505,2008.0,0.6106163625915845
screw,percentile,96.0,True,60,0.11856713183843477,0.19747974180062053,1445.55,0.6106163625915845
screw,percentile,97.0,False,60,0.14200633022763304,0.2389462781236756,1506.0166666666667,0.6534342924753825
screw,percentile,97.0,True,60,0.14473301120717869,0.2335485263155648,1178.6833333333334,0.6534342924753825
screw,percentile,98.0,False,60,0.1919649871936426,0.3044700624207877,1004.0,0.7176074822743733
screw,percentile,98.0,True,60,0.19490641423866198,0.29697866760317587,845.05,0.7176074822743733
screw,percentile,99.0,False,60,0.26434296762012094,0.38560088304198753,502.0,0.8229274789492289
screw,percentile,99.0,True,60,0.2588401774115221,0.36996865157672537,445.0,0.8229274789492289
screw,mean_std,0.5,False,60,0.021980687433093574,0.0425887562808361,11588.683333333332,0.4061606784661611
screw,mean_std,0.5,True,60,0.02834451209915719,0.05303897220347029,5708.883333333333,0.4061606784661611
screw,mean_std,0.75,False,60,0.030796797678934732,0.05888424946520779,8299.45,0.4400509809454282
screw,mean_std,0.75,True,60,0.03539171077916428,0.06552464895515803,4106.216666666666,0.4400509809454282
screw,mean_std,1.0,False,60,0.041633036170608276,0.07846090619333383,6065.05,0.47394128143787384
screw,mean_std,1.0,True,60,0.05374167262065137,0.09712765434792123,3234.2166666666667,0.47394128143787384
screw,mean_std,1.25,False,60,0.0553128078541271,0.10255232097479137,4474.533333333334,0.5078315814336141
screw,mean_std,1.25,True,60,0.06981423287790325,0.12313307068856644,2574.85,0.5078315814336141
screw,mean_std,1.5,False,60,0.07174086756133899,0.13054503822207708,3372.4666666666667,0.5417218883832295
screw,mean_std,1.5,True,60,0.08828095331953492,0.15284006583406937,2117.5,0.5417218883832295
