defect_type,support,tp,fp,fn,precision,recall,f1,strategy,image_mode,category
thread,11,11,35,0,0.2391304347826087,1.0,0.38596491228070173,short_visual,gt_crop,grid
color,19,16,15,3,0.5161290322580645,0.8421052631578947,0.64,short_visual,gt_crop,leather
cut,19,4,16,15,0.2,0.21052631578947367,0.20512820512820512,short_visual,gt_crop,leather
fold,17,12,28,5,0.3,0.7058823529411765,0.42105263157894735,short_visual,gt_crop,leather
glue,19,0,1,19,0.0,0.0,0.0,short_visual,gt_crop,leather
poke,18,0,0,18,0.0,0.0,0.0,short_visual,gt_crop,leather
manipulated_front,24,1,20,23,0.047619047619047616,0.041666666666666664,0.044444444444444446,short_visual,gt_crop,screw
scratch_head,24,15,69,9,0.17857142857142858,0.625,0.2777777777777778,short_visual,gt_crop,screw
scratch_neck,25,0,3,25,0.0,0.0,0.0,short_visual,gt_crop,screw
thread_side,23,0,1,23,0.0,0.0,0.0,short_visual,gt_crop,screw
thread_top,23,1,9,22,0.1,0.043478260869565216,0.06060606060606061,short_visual,gt_crop,screw
color,8,5,10,3,0.3333333333333333,0.625,0.43478260869565216,short_visual,gt_crop,wood
combined,11,2,0,9,1.0,0.18181818181818182,0.3076923076923077,short_visual,gt_crop,wood
hole,10,5,2,5,0.7142857142857143,0.5,0.5882352941176471,short_visual,gt_crop,wood
liquid,10,0,0,10,0.0,0.0,0.0,short_visual,gt_crop,wood
scratch,21,19,17,2,0.5277777777777778,0.9047619047619048,0.6666666666666666,short_visual,gt_crop,wood
bent,12,0,1,12,0.0,0.0,0.0,category_visual,full,grid
broken,12,0,5,12,0.0,0.0,0.0,category_visual,full,grid
glue,11,0,0,11,0.0,0.0,0.0,category_visual,full,grid
metal_contamination,11,7,17,4,0.2916666666666667,0.6363636363636364,0.4,category_visual,full,grid
thread,11,5,22,6,0.18518518518518517,0.45454545454545453,0.2631578947368421,category_visual,full,grid
color,19,19,61,0,0.2375,1.0,0.3838383838383838,category_visual,full,leather
cut,19,1,4,18,0.2,0.05263157894736842,0.08333333333333333,category_visual,full,leather
fold,17,6,1,11,0.8571428571428571,0.35294117647058826,0.5,category_visual,full,leather
glue,19,0,0,19,0.0,0.0,0.0,category_visual,full,leather
poke,18,0,0,18,0.0,0.0,0.0,category_visual,full,leather
manipulated_front,24,5,4,19,0.5555555555555556,0.20833333333333334,0.30303030303030304,category_visual,full,screw
scratch_head,24,2,23,22,0.08,0.08333333333333333,0.08163265306122448,category_visual,full,screw
scratch_neck,25,20,65,5,0.23529411764705882,0.8,0.36363636363636365,category_visual,full,screw
thread_side,23,0,0,23,0.0,0.0,0.0,category_visual,full,screw
thread_top,23,0,0,23,0.0,0.0,0.0,category_visual,full,screw
color,8,3,26,5,0.10344827586206896,0.375,0.16216216216216217,category_visual,full,wood
combined,11,1,1,10,0.5,0.09090909090909091,0.15384615384615385,category_visual,full,wood
hole,10,2,2,8,0.5,0.2,0.2857142857142857,category_visual,full,wood
liquid,10,1,6,9,0.14285714285714285,0.1,0.11764705882352941,category_visual,full,wood
scratch,21,12,6,9,0.6666666666666666,0.5714285714285714,0.6153846153846154,category_visual,full,wood
bent,12,1,2,11,0.3333333333333333,0.08333333333333333,0.13333333333333333,category_visual,gt_crop,grid
broken,12,0,0,12,0.0,0.0,0.0,category_visual,gt_crop,grid
glue,11,10,18,1,0.35714285714285715,0.9090909090909091,0.5128205128205128,category_visual,gt_crop,grid
metal_contamination,11,0,13,11,0.0,0.0,0.0,category_visual,gt_crop,grid
thread,11,7,6,4,0.5384615384615384,0.6363636363636364,0.5833333333333334,category_visual,gt_crop,grid
color,19,17,21,2,0.4473684210526316,0.8947368421052632,0.5964912280701754,category_visual,gt_crop,leather
cut,19,0,2,19,0.0,0.0,0.0,category_visual,gt_crop,leather
fold,17,15,37,2,0.28846153846153844,0.8823529411764706,0.43478260869565216,category_visual,gt_crop,leather
glue,19,0,0,19,0.0,0.0,0.0,category_visual,gt_crop,leather
poke,18,0,0,18,0.0,0.0,0.0,category_visual,gt_crop,leather
manipulated_front,24,5,13,19,0.2777777777777778,0.20833333333333334,0.23809523809523808,category_visual,gt_crop,screw
scratch_head,24,5,17,19,0.22727272727272727,0.20833333333333334,0.21739130434782608,category_visual,gt_crop,screw
scratch_neck,25,2,6,23,0.25,0.08,0.12121212121212122,category_visual,gt_crop,screw
thread_side,23,4,20,19,0.16666666666666666,0.17391304347826086,0.1702127659574468,category_visual,gt_crop,screw
thread_top,23,13,34,10,0.2765957446808511,0.5652173913043478,0.37142857142857144,category_visual,gt_crop,screw
color,8,5,22,3,0.18518518518518517,0.625,0.2857142857142857,category_visual,gt_crop,wood
combined,11,1,2,10,0.3333333333333333,0.09090909090909091,0.14285714285714285,category_visual,gt_crop,wood
hole,10,5,3,5,0.625,0.5,0.5555555555555556,category_visual,gt_crop,wood
liquid,10,1,5,9,0.16666666666666666,0.1,0.125,category_visual,gt_crop,wood
scratch,21,8,8,13,0.5,0.38095238095238093,0.43243243243243246,category_visual,gt_crop,wood
bent,12,0,0,12,0.0,0.0,0.0,visual_ensemble,full,grid
broken,12,0,0,12,0.0,0.0,0.0,visual_ensemble,full,grid
glue,11,0,0,11,0.0,0.0,0.0,visual_ensemble,full,grid
metal_contamination,11,0,0,11,0.0,0.0,0.0,visual_ensemble,full,grid
thread,11,11,46,0,0.19298245614035087,1.0,0.3235294117647059,visual_ensemble,full,grid
color,19,14,11,5,0.56,0.7368421052631579,0.6363636363636364,visual_ensemble,full,leather
cut,19,11,14,8,0.44,0.5789473684210527,0.5,visual_ensemble,full,leather
fold,17,17,24,0,0.4146341463414634,1.0,0.5862068965517241,visual_ensemble,full,leather
glue,19,0,1,19,0.0,0.0,0.0,visual_ensemble,full,leather
poke,18,0,0,18,0.0,0.0,0.0,visual_ensemble,full,leather
manipulated_front,24,0,0,24,0.0,0.0,0.0,visual_ensemble,full,screw
scratch_head,24,17,79,7,0.17708333333333334,0.7083333333333334,0.2833333333333333,visual_ensemble,full,screw
scratch_neck,25,7,16,18,0.30434782608695654,0.28,0.2916666666666667,visual_ensemble,full,screw
thread_side,23,0,0,23,0.0,0.0,0.0,visual_ensemble,full,screw
thread_top,23,0,0,23,0.0,0.0,0.0,visual_ensemble,full,screw
color,8,1,0,7,1.0,0.125,0.2222222222222222,visual_ensemble,full,wood
combined,11,0,0,11,0.0,0.0,0.0,visual_ensemble,full,wood
hole,10,1,2,9,0.3333333333333333,0.1,0.15384615384615385,visual_ensemble,full,wood
liquid,10,2,8,8,0.2,0.2,0.2,visual_ensemble,full,wood
scratch,21,21,25,0,0.45652173913043476,1.0,0.6268656716417911,visual_ensemble,full,wood
bent,12,0,6,12,0.0,0.0,0.0,visual_ensemble,gt_crop,grid
broken,12,0,0,12,0.0,0.0,0.0,visual_ensemble,gt_crop,grid
glue,11,3,2,8,0.6,0.2727272727272727,0.375,visual_ensemble,gt_crop,grid
metal_contamination,11,0,0,11,0.0,0.0,0.0,visual_ensemble,gt_crop,grid
thread,11,11,35,0,0.2391304347826087,1.0,0.38596491228070173,visual_ensemble,gt_crop,grid
color,19,4,2,15,0.6666666666666666,0.21052631578947367,0.32,visual_ensemble,gt_crop,leather
cut,19,0,6,19,0.0,0.0,0.0,visual_ensemble,gt_crop,leather
fold,17,16,64,1,0.2,0.9411764705882353,0.32989690721649484,visual_ensemble,gt_crop,leather
glue,19,0,0,19,0.0,0.0,0.0,visual_ensemble,gt_crop,leather
poke,18,0,0,18,0.0,0.0,0.0,visual_ensemble,gt_crop,leather
manipulated_front,24,9,42,15,0.17647058823529413,0.375,0.24,visual_ensemble,gt_crop,screw
scratch_head,24,9,50,15,0.15254237288135594,0.375,0.21686746987951808,visual_ensemble,gt_crop,screw
scratch_neck,25,0,0,25,0.0,0.0,0.0,visual_ensemble,gt_crop,screw
thread_side,23,2,6,21,0.25,0.08695652173913043,0.12903225806451613,visual_ensemble,gt_crop,screw
thread_top,23,0,1,23,0.0,0.0,0.0,visual_ensemble,gt_crop,screw
color,8,2,3,6,0.4,0.25,0.3076923076923077,visual_ensemble,gt_crop,wood
combined,11,1,0,10,1.0,0.09090909090909091,0.16666666666666666,visual_ensemble,gt_crop,wood
hole,10,5,2,5,0.7142857142857143,0.5,0.5882352941176471,visual_ensemble,gt_crop,wood
liquid,10,0,3,10,0.0,0.0,0.0,visual_ensemble,gt_crop,wood
scratch,21,20,24,1,0.45454545454545453,0.9523809523809523,0.6153846153846154,visual_ensemble,gt_crop,wood
