q_source,q_direction,q_name,category,num_images,auroc_detector_D,auroc_crop_M,auroc_quality_Q_alone,auroc_V3_naive,auroc_V4_quality,auroc_V5_fixed_qc,auroc_V6_adaptive,delta_V4_minus_V3,delta_V6_minus_V4,delta_V6_minus_V3
context_topk_max_score,inverted,context_topk_max_score__inverted,fruit_jelly,40,0.7166666666666667,0.8566666666666668,0.23333333333333334,0.8766666666666668,0.8300000000000001,0.8733333333333335,0.8300000000000001,-0.046666666666666745,0.0,-0.046666666666666745
context_topk_max_score,inverted,context_topk_max_score__inverted,sheet_metal,57,0.7462962962962963,0.587037037037037,0.34259259259259256,0.7425925925925927,0.6944444444444444,0.7203703703703704,0.6944444444444444,-0.04814814814814827,0.0,-0.04814814814814827
context_topk_max_score,inverted,context_topk_max_score__inverted,vial,71,0.8731656184486374,0.5230607966457024,0.5440251572327044,0.9182389937106918,0.9025157232704403,0.9150943396226415,0.9025157232704403,-0.01572327044025157,0.0,-0.01572327044025157
context_topk_max_score,inverted,context_topk_max_score__inverted,walnuts,75,0.8051851851851852,0.6429629629629628,0.3681481481481481,0.777037037037037,0.7851851851851852,0.7696296296296297,0.7851851851851852,0.008148148148148238,0.0,0.008148148148148238
context_topk_mean_score,direct,context_topk_mean_score__direct,fruit_jelly,40,0.7166666666666667,0.8566666666666668,0.8566666666666668,0.8766666666666668,0.8733333333333335,0.88,0.8733333333333335,-0.0033333333333332993,0.0,-0.0033333333333332993
context_topk_mean_score,direct,context_topk_mean_score__direct,sheet_metal,57,0.7462962962962963,0.587037037037037,0.587037037037037,0.7425925925925927,0.7444444444444445,0.7370370370370372,0.7462962962962963,0.0018518518518517713,0.0018518518518518823,0.0037037037037036535
context_topk_mean_score,direct,context_topk_mean_score__direct,vial,71,0.8731656184486374,0.5230607966457024,0.5230607966457024,0.9182389937106918,0.9255765199161425,0.9004192872117401,0.9255765199161425,0.007337526205450695,0.0,0.007337526205450695
context_topk_mean_score,direct,context_topk_mean_score__direct,walnuts,75,0.8051851851851852,0.6429629629629628,0.6429629629629628,0.777037037037037,0.7770370370370371,0.7688888888888891,0.7770370370370371,1.1102230246251565e-16,0.0,1.1102230246251565e-16
context_topk_mean_score,inverted,context_topk_mean_score__inverted,fruit_jelly,40,0.7166666666666667,0.8566666666666668,0.1433333333333333,0.8766666666666668,0.8300000000000001,0.87,0.8300000000000001,-0.046666666666666745,0.0,-0.046666666666666745
context_topk_mean_score,inverted,context_topk_mean_score__inverted,sheet_metal,57,0.7462962962962963,0.587037037037037,0.412962962962963,0.7425925925925927,0.7388888888888889,0.7574074074074074,0.7351851851851852,-0.0037037037037037646,-0.0037037037037037646,-0.007407407407407529
context_topk_mean_score,inverted,context_topk_mean_score__inverted,vial,71,0.8731656184486374,0.5230607966457024,0.4769392033542977,0.9182389937106918,0.9129979035639413,0.9255765199161425,0.9119496855345912,-0.00524109014675056,-0.0010482180293500676,-0.0062893081761006275
context_topk_mean_score,inverted,context_topk_mean_score__inverted,walnuts,75,0.8051851851851852,0.6429629629629628,0.35703703703703704,0.777037037037037,0.7977777777777777,0.7866666666666666,0.797037037037037,0.020740740740740726,-0.0007407407407407085,0.020000000000000018
candidate_score_mean_max,direct,candidate_score_mean_max__direct,fruit_jelly,40,0.7166666666666667,0.8566666666666668,0.4066666666666666,0.8766666666666668,0.8833333333333333,0.8800000000000001,0.8833333333333333,0.0066666666666664876,0.0,0.0066666666666664876
