category,q_source,q_direction,eta,gamma,auroc_V3_naive,auroc_quality_qcr,auroc_adaptive_qcr,auroc_Q_alone,delta_quality_minus_V3,delta_adaptive_minus_V3,delta_adaptive_minus_quality
vial,num_candidates_x,direct,0.1,0.05,0.9182389937106918,0.9266247379454926,0.9266247379454926,0.4360587002096436,0.008385744234800763,0.008385744234800763,0.0
walnuts,num_candidates_x,direct,0.1,0.05,0.777037037037037,0.7837037037037037,0.7837037037037036,0.4192592592592593,0.00666666666666671,0.006666666666666599,-1.1102230246251565e-16
fruit_jelly,num_candidates_x,direct,0.15,0.0,0.8766666666666668,0.8666666666666667,0.8666666666666667,0.5233333333333333,-0.01000000000000012,-0.01000000000000012,0.0
sheet_metal,num_candidates_x,direct,0.15,0.0,0.7425925925925927,0.7425925925925926,0.7425925925925926,0.4833333333333333,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0
vial,num_candidates_x,direct,0.15,0.0,0.9182389937106918,0.9276729559748428,0.9276729559748428,0.4360587002096436,0.009433962264150941,0.009433962264150941,0.0
walnuts,num_candidates_x,direct,0.15,0.0,0.777037037037037,0.7874074074074073,0.7874074074074073,0.4192592592592593,0.010370370370370363,0.010370370370370363,0.0
fruit_jelly,num_candidates_x,direct,0.15,0.01,0.8766666666666668,0.8666666666666667,0.8666666666666667,0.5233333333333333,-0.01000000000000012,-0.01000000000000012,0.0
sheet_metal,num_candidates_x,direct,0.15,0.01,0.7425925925925927,0.7425925925925926,0.7425925925925926,0.4833333333333333,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0
vial,num_candidates_x,direct,0.15,0.01,0.9182389937106918,0.9276729559748428,0.9276729559748428,0.4360587002096436,0.009433962264150941,0.009433962264150941,0.0
walnuts,num_candidates_x,direct,0.15,0.01,0.777037037037037,0.7874074074074073,0.7881481481481482,0.4192592592592593,0.010370370370370363,0.011111111111111183,0.0007407407407408195
fruit_jelly,num_candidates_x,direct,0.15,0.03,0.8766666666666668,0.8666666666666667,0.8666666666666667,0.5233333333333333,-0.01000000000000012,-0.01000000000000012,0.0
sheet_metal,num_candidates_x,direct,0.15,0.03,0.7425925925925927,0.7425925925925926,0.7407407407407407,0.4833333333333333,-1.1102230246251565e-16,-0.0018518518518519933,-0.0018518518518518823
vial,num_candidates_x,direct,0.15,0.03,0.9182389937106918,0.9276729559748428,0.9276729559748428,0.4360587002096436,0.009433962264150941,0.009433962264150941,0.0
walnuts,num_candidates_x,direct,0.15,0.03,0.777037037037037,0.7874074074074073,0.7881481481481482,0.4192592592592593,0.010370370370370363,0.011111111111111183,0.0007407407407408195
fruit_jelly,num_candidates_x,direct,0.15,0.05,0.8766666666666668,0.8666666666666667,0.8666666666666667,0.5233333333333333,-0.01000000000000012,-0.01000000000000012,0.0
sheet_metal,num_candidates_x,direct,0.15,0.05,0.7425925925925927,0.7425925925925926,0.7425925925925926,0.4833333333333333,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0
vial,num_candidates_x,direct,0.15,0.05,0.9182389937106918,0.9276729559748428,0.9276729559748428,0.4360587002096436,0.009433962264150941,0.009433962264150941,0.0
walnuts,num_candidates_x,direct,0.15,0.05,0.777037037037037,0.7874074074074073,0.7888888888888889,0.4192592592592593,0.010370370370370363,0.011851851851851891,0.001481481481481528
fruit_jelly,num_candidates_x,direct,0.2,0.0,0.8766666666666668,0.87,0.87,0.5233333333333333,-0.006666666666666821,-0.006666666666666821,0.0
sheet_metal,num_candidates_x,direct,0.2,0.0,0.7425925925925927,0.7444444444444445,0.7444444444444445,0.4833333333333333,0.0018518518518517713,0.0018518518518517713,0.0
vial,num_candidates_x,direct,0.2,0.0,0.9182389937106918,0.919287211740042,0.919287211740042,0.4360587002096436,0.0010482180293501786,0.0010482180293501786,0.0
walnuts,num_candidates_x,direct,0.2,0.0,0.777037037037037,0.7918518518518517,0.7918518518518517,0.4192592592592593,0.014814814814814725,0.014814814814814725,0.0
fruit_jelly,num_candidates_x,direct,0.2,0.01,0.8766666666666668,0.87,0.87,0.5233333333333333,-0.006666666666666821,-0.006666666666666821,0.0
sheet_metal,num_candidates_x,direct,0.2,0.01,0.7425925925925927,0.7444444444444445,0.7444444444444445,0.4833333333333333,0.0018518518518517713,0.0018518518518517713,0.0
vial,num_candidates_x,direct,0.2,0.01,0.9182389937106918,0.919287211740042,0.919287211740042,0.4360587002096436,0.0010482180293501786,0.0010482180293501786,0.0
walnuts,num_candidates_x,direct,0.2,0.01,0.777037037037037,0.7918518518518517,0.791111111111111,0.4192592592592593,0.014814814814814725,0.014074074074074017,-0.0007407407407407085
fruit_jelly,num_candidates_x,direct,0.2,0.03,0.8766666666666668,0.87,0.87,0.5233333333333333,-0.006666666666666821,-0.006666666666666821,0.0
sheet_metal,num_candidates_x,direct,0.2,0.03,0.7425925925925927,0.7444444444444445,0.7444444444444445,0.4833333333333333,0.0018518518518517713,0.0018518518518517713,0.0
vial,num_candidates_x,direct,0.2,0.03,0.9182389937106918,0.919287211740042,0.919287211740042,0.4360587002096436,0.0010482180293501786,0.0010482180293501786,0.0
walnuts,num_candidates_x,direct,0.2,0.03,0.777037037037037,0.7918518518518517,0.7918518518518518,0.4192592592592593,0.014814814814814725,0.014814814814814836,1.1102230246251565e-16
fruit_jelly,num_candidates_x,direct,0.2,0.05,0.8766666666666668,0.87,0.87,0.5233333333333333,-0.006666666666666821,-0.006666666666666821,0.0
sheet_metal,num_candidates_x,direct,0.2,0.05,0.7425925925925927,0.7444444444444445,0.7444444444444444,0.4833333333333333,0.0018518518518517713,0.0018518518518516602,-1.1102230246251565e-16
vial,num_candidates_x,direct,0.2,0.05,0.9182389937106918,0.919287211740042,0.919287211740042,0.4360587002096436,0.0010482180293501786,0.0010482180293501786,0.0
walnuts,num_candidates_x,direct,0.2,0.05,0.777037037037037,0.7918518518518517,0.7918518518518518,0.4192592592592593,0.014814814814814725,0.014814814814814836,1.1102230246251565e-16
fruit_jelly,num_candidates_x,direct,0.25,0.0,0.8766666666666668,0.8733333333333334,0.8733333333333334,0.5233333333333333,-0.0033333333333334103,-0.0033333333333334103,0.0
sheet_metal,num_candidates_x,direct,0.25,0.0,0.7425925925925927,0.7388888888888889,0.7388888888888889,0.4833333333333333,-0.0037037037037037646,-0.0037037037037037646,0.0
vial,num_candidates_x,direct,0.25,0.0,0.9182389937106918,0.9088050314465409,0.9088050314465409,0.4360587002096436,-0.009433962264150941,-0.009433962264150941,0.0
walnuts,num_candidates_x,direct,0.25,0.0,0.777037037037037,0.8007407407407408,0.8007407407407408,0.4192592592592593,0.023703703703703782,0.023703703703703782,0.0
fruit_jelly,num_candidates_x,direct,0.25,0.01,0.8766666666666668,0.8733333333333334,0.8733333333333334,0.5233333333333333,-0.0033333333333334103,-0.0033333333333334103,0.0
sheet_metal,num_candidates_x,direct,0.25,0.01,0.7425925925925927,0.7388888888888889,0.7388888888888889,0.4833333333333333,-0.0037037037037037646,-0.0037037037037037646,0.0
vial,num_candidates_x,direct,0.25,0.01,0.9182389937106918,0.9088050314465409,0.9088050314465409,0.4360587002096436,-0.009433962264150941,-0.009433962264150941,0.0
walnuts,num_candidates_x,direct,0.25,0.01,0.777037037037037,0.8007407407407408,0.8007407407407408,0.4192592592592593,0.023703703703703782,0.023703703703703782,0.0
fruit_jelly,num_candidates_x,direct,0.25,0.03,0.8766666666666668,0.8733333333333334,0.8733333333333334,0.5233333333333333,-0.0033333333333334103,-0.0033333333333334103,0.0
sheet_metal,num_candidates_x,direct,0.25,0.03,0.7425925925925927,0.7388888888888889,0.7370370370370369,0.4833333333333333,-0.0037037037037037646,-0.005555555555555758,-0.0018518518518519933
vial,num_candidates_x,direct,0.25,0.03,0.9182389937106918,0.9088050314465409,0.9088050314465409,0.4360587002096436,-0.009433962264150941,-0.009433962264150941,0.0
walnuts,num_candidates_x,direct,0.25,0.03,0.777037037037037,0.8007407407407408,0.8007407407407408,0.4192592592592593,0.023703703703703782,0.023703703703703782,0.0
fruit_jelly,num_candidates_x,direct,0.25,0.05,0.8766666666666668,0.8733333333333334,0.8733333333333334,0.5233333333333333,-0.0033333333333334103,-0.0033333333333334103,0.0
sheet_metal,num_candidates_x,direct,0.25,0.05,0.7425925925925927,0.7388888888888889,0.7388888888888888,0.4833333333333333,-0.0037037037037037646,-0.0037037037037038756,-1.1102230246251565e-16
vial,num_candidates_x,direct,0.25,0.05,0.9182389937106918,0.9088050314465409,0.9088050314465409,0.4360587002096436,-0.009433962264150941,-0.009433962264150941,0.0
walnuts,num_candidates_x,direct,0.25,0.05,0.777037037037037,0.8007407407407408,0.8007407407407408,0.4192592592592593,0.023703703703703782,0.023703703703703782,0.0
fruit_jelly,num_candidates_x,direct,0.3,0.0,0.8766666666666668,0.8699999999999999,0.8699999999999999,0.5233333333333333,-0.006666666666666932,-0.006666666666666932,0.0
sheet_metal,num_candidates_x,direct,0.3,0.0,0.7425925925925927,0.7425925925925927,0.7425925925925927,0.4833333333333333,0.0,0.0,0.0
