category,caliper,matched_fraction,supported_fraction_all_positives,map_nn,appearance_nn,joint_nn,conditional_appearance,map_nn_supported,appearance_nn_supported,joint_nn_supported,conditional_appearance_supported
chewinggum,0.1,0.3284375,0.0471875,0.3549235739283659,0.83919962520256,0.3825959878647618,0.38547726164077534,0.51892258382643,0.957051282051282,0.9802884615384616,0.9614275143696711
fryum,0.01,0.6495553959131546,0.0867328431372549,0.44193967261053874,0.5617403052298685,0.5200774342683233,0.37711815792135894,0.6333990083990084,0.5274371461871462,0.5308825433825434,0.24586663801561703
fryum,0.05,0.7008053959131546,0.08704534313725491,0.4358833473287396,0.5708209257817091,0.5089028020038331,0.3895292163816924,0.6313788063788064,0.5294573482073482,0.5278522403522404,0.24283633426283346
fryum,0.1,0.7111178959131546,0.0873578431372549,0.4398357827580635,0.5718379648662787,0.5113770718143305,0.3871300153664707,0.6299358049358049,0.5309003496503497,0.5256877381877382,0.24067183222734567
macaroni1,0.01,0.4518878367003367,0.05854166666666667,0.533969321673008,0.8806361630124506,0.8265878350768224,0.6644227819517254,0.7769911339112119,0.874943643462162,0.8922012144234366,0.890654409373248
macaroni1,0.05,0.47864478114478115,0.059500000000000004,0.5344313935009953,0.8627700067391567,0.8299598024277085,0.6542899136741956,0.7508374735818345,0.8794099419099419,0.8615273615273615,0.8897977045604161
macaroni1,0.1,0.48847432659932655,0.06075,0.5356665604660499,0.8659398479627227,0.8337007008786076,0.6600575627512243,0.7242897117670257,0.8818440818440818,0.8663022800953836,0.8918736458852373
macaroni2,0.01,0.4149976851851852,0.15821130952380952,0.6430915359487015,0.8411716576363248,0.7167010465901856,0.7678356128342357,0.604533442546634,0.8349348992554673,0.9324398056066182,0.9195782985236194
macaroni2,0.05,0.44618749999999996,0.16352380952380952,0.6466846566249789,0.846475317637867,0.7171989210585946,0.7732804304942852,0.6087072598783461,0.8399461832141196,0.9279909274735295,0.9225480322902267
macaroni2,0.1,0.4624375,0.1707113095238095,0.6485263663891753,0.8469850888915842,0.7140252840466881,0.7650943441050393,0.632716278421764,0.8331274341669238,0.9300939330226449,0.924789937703233
pcb1,0.01,0.3153125,0.0178125,0.5819072867209671,0.5427996078511276,0.7034578700709423,0.7457780185199919,0.7235119047619047,0.7867559523809524,0.4854166666666667,0.4412202417850494
pcb1,0.05,0.361875,0.0178125,0.5692896024667563,0.5238564379693694,0.697350748671652,0.7357552081701302,0.7235119047619047,0.7867559523809524,0.4854166666666667,0.4412202417850494
pcb1,0.1,0.3721875,0.0178125,0.5574002533478964,0.5170265291406998,0.6922272942106761,0.7423858879243627,0.7235119047619047,0.7867559523809524,0.4854166666666667,0.4412202417850494
pcb2,0.01,0.4590625,0.0675,0.5537910103344784,0.5762949453513015,0.5566252539048112,0.4247068143837775,0.549603553012644,0.5419315532951896,0.6922450024722752,0.7516864484006708
pcb2,0.05,0.4965625,0.068125,0.5524838455715306,0.5762619452756016,0.547919459494874,0.4184250527820022,0.5511703574203574,0.543997668997669,0.6888014763014763,0.7489316273819316
pcb2,0.1,0.5053125,0.0690625,0.5499463331320658,0.5708280188791701,0.5483886363706043,0.42287636482992125,0.5477029914529914,0.5422494172494172,0.6858877233877233,0.7477369877425107
pcb3,0.01,0.441875,0.05125,0.5174998941740229,0.5982893665086344,0.7080541390412615,0.754540836497357,0.6027282658861606,0.7920775861565335,0.882369385000964,0.6600025743246078
pcb3,0.05,0.483125,0.051875,0.5280121647497461,0.5845487266052273,0.7034361172419024,0.7407765964356562,0.6035052666631614,0.7909120849910323,0.8769303795619585,0.6561175699417408
pcb3,0.1,0.49375,0.0528125,0.523351764767663,0.5907549529073889,0.7042463751742805,0.7392357987995001,0.6024230155809103,0.7836068901858375,0.8771801298117088,0.6622156374729596
pcb4,0.01,0.56875,0.0090625,0.5893468576661552,0.6122744344176919,0.5815109877678604,0.5734412926200189,0.7609126984126985,0.7847222222222222,0.8650793650793651,0.6170634975035986
pcb4,0.05,0.5984375,0.0090625,0.6006444470293129,0.5924337422378941,0.5783793973998416,0.5634730689073961,0.7609126984126985,0.7847222222222222,0.8650793650793651,0.6170634975035986
pcb4,0.1,0.604375,0.0090625,0.5928704176382527,0.5923850293118695,0.570929430327156,0.5654645155462408,0.7609126984126985,0.7847222222222222,0.8650793650793651,0.6170634975035986
pipe_fryum,0.01,0.350625,0.000625,0.5428880568886761,0.7483596165586656,0.6496064418351626,0.7031356743196162,0.0,1.0,1.0,0.5
pipe_fryum,0.05,0.41125,0.000625,0.539778435237735,0.7390164084348287,0.6617154570184995,0.6940838667963233,0.0,1.0,1.0,0.5
pipe_fryum,0.1,0.4234375,0.000625,0.5368439797307161,0.7433676201747066,0.6685112180282506,0.6854441803555156,0.0,1.0,1.0,0.5
