backbone,dataset,strategy,eval_mode,variant_id,variant,num_images,num_normal,num_anomaly,auroc,ap,best_f1,best_accuracy,best_threshold
PatchCore,VisA,generic_binary,crop_topk_ensemble,V4,quality_weighted_crop,2162,962,1200,0.9755933818433818,0.9776695756764796,0.939531057178116,0.9320074005550416,0.2923037582432482
PatchCore,VisA,generic_binary,crop_topk_ensemble,V5,fixed_quality_consistency,2162,962,1200,0.977489604989605,0.9804845199584664,0.940935192780968,0.9333950046253469,0.3342631160465462
PatchCore,VisA,generic_binary,crop_topk_ensemble,V6,adaptive_qcru,2162,962,1200,0.9758948371448372,0.9780391856052709,0.9401639344262296,0.9324699352451434,0.2800281219888124
PatchCore,VisA,generic_binary,full_all,V0,detector_only,2162,962,1200,0.9131098406098406,0.9241804739546882,0.8605769230769231,0.8390379278445883,0.23408000453980998
PatchCore,VisA,generic_binary,full_all,V2,crop_topk_vlm,2162,962,1200,0.5437335412335412,0.6015011385910464,0.7138607971445567,0.5550416281221091,0.0
PatchCore,VisA,generic_binary,full_all,V3,naive_detector_crop_fusion,2162,962,1200,0.8335282397782398,0.8744390665802818,0.7893738140417457,0.7432932469935245,0.3537212913074611
PatchCore,VisA,generic_binary,full_all,V4,quality_weighted_crop,2162,962,1200,0.9135576923076923,0.9344114083698363,0.862240663900415,0.8464384828862165,0.27444806024777074
PatchCore,VisA,generic_binary,full_all,V5,fixed_quality_consistency,2162,962,1200,0.882168225918226,0.9105391998295901,0.8263473053892216,0.7987974098057354,0.338855920751293
PatchCore,VisA,generic_binary,full_all,V6,adaptive_qcru,2162,962,1200,0.9144152806652807,0.9352440275578643,0.862240663900415,0.8464384828862165,0.2644222250701994
PatchCore,VisA,inspection_binary,crop_or_full,V0,detector_only,2162,962,1200,0.9131098406098406,0.9241804739546882,0.8605769230769231,0.8390379278445883,0.23408000453980998
PatchCore,VisA,inspection_binary,crop_or_full,V2,crop_topk_vlm,2162,962,1200,0.8682371794871795,0.8949020853943478,0.823115970324092,0.7904717853839038,0.33102296948646254
PatchCore,VisA,inspection_binary,crop_or_full,V3,naive_detector_crop_fusion,2162,962,1200,0.9510239085239085,0.9606975732854705,0.8985743380855397,0.8848288621646624,0.3345864068647979
PatchCore,VisA,inspection_binary,crop_or_full,V4,quality_weighted_crop,2162,962,1200,0.9649870062370063,0.9704957155640851,0.9212171738224261,0.9125809435707678,0.27890205320757216
PatchCore,VisA,inspection_binary,crop_or_full,V5,fixed_quality_consistency,2162,962,1200,0.9664812889812889,0.9731272630307914,0.9163879598662208,0.9074930619796485,0.33812173639083987
PatchCore,VisA,inspection_binary,crop_or_full,V6,adaptive_qcru,2162,962,1200,0.9653430353430353,0.9708767803881034,0.9212171738224261,0.9125809435707678,0.27031058066427427
PatchCore,VisA,inspection_binary,crop_topk_ensemble,V0,detector_only,2162,962,1200,0.9131098406098406,0.9241804739546882,0.8605769230769231,0.8390379278445883,0.23408000453980998
PatchCore,VisA,inspection_binary,crop_topk_ensemble,V2,crop_topk_vlm,2162,962,1200,0.8845556133056133,0.9095764785476439,0.8340425531914893,0.8015726179463459,0.3310249584707326
PatchCore,VisA,inspection_binary,crop_topk_ensemble,V3,naive_detector_crop_fusion,2162,962,1200,0.9616450103950104,0.9680788502375994,0.9126760563380282,0.8996299722479186,0.3351076819928932
PatchCore,VisA,inspection_binary,crop_topk_ensemble,V4,quality_weighted_crop,2162,962,1200,0.9718425155925156,0.975201229909239,0.9319026000825422,0.92368177613321,0.27931666967377927
PatchCore,VisA,inspection_binary,crop_topk_ensemble,V5,fixed_quality_consistency,2162,962,1200,0.9740081427581427,0.9784326509147248,0.9312344656172329,0.9232192414431082,0.340727709882288
PatchCore,VisA,inspection_binary,crop_topk_ensemble,V6,adaptive_qcru,2162,962,1200,0.9721604296604297,0.9755509789672662,0.9319587628865978,0.92368177613321,0.2689284502684731
PatchCore,VisA,inspection_binary,full_all,V0,detector_only,2162,962,1200,0.9131098406098406,0.9241804739546882,0.8605769230769231,0.8390379278445883,0.23408000453980998
PatchCore,VisA,inspection_binary,full_all,V2,crop_topk_vlm,2162,962,1200,0.5890609840609841,0.6319924681782155,0.7138607971445567,0.5550416281221091,0.0
PatchCore,VisA,inspection_binary,full_all,V3,naive_detector_crop_fusion,2162,962,1200,0.8521534996534996,0.8760816894055636,0.8056338028169013,0.776595744680851,0.3508605542694919
PatchCore,VisA,inspection_binary,full_all,V4,quality_weighted_crop,2162,962,1200,0.9188877338877339,0.9333012478925957,0.8657799274486095,0.8459759481961147,0.25914999389798477
PatchCore,VisA,inspection_binary,full_all,V5,fixed_quality_consistency,2162,962,1200,0.8926697851697851,0.9089779744501656,0.8404883812524617,0.8126734505087881,0.30811370848795094
PatchCore,VisA,inspection_binary,full_all,V6,adaptive_qcru,2162,962,1200,0.9196240471240471,0.9340614724865949,0.8664784187172248,0.8469010175763182,0.25052855984604094
