backbone,strategy,eval_mode,debiased_method,category,num_images,num_normal,num_anomaly,has_both_classes,candidate_coverage,auroc,ap,best_f1,best_accuracy,best_threshold,vlm_only_auroc,vlm_only_ap,vlm_only_best_f1,vlm_only_best_accuracy,delta_auroc_vs_vlm,delta_ap_vs_vlm,delta_best_f1_vs_vlm
FastFlow,inspection_binary,crop_or_full,qcr_u_no_q_fixed,macaroni2,200,100,100,True,0.5,0.8175,0.8473886732562029,0.772093023255814,0.755,0.41567091033384673,0.8122,0.8449905844252585,0.7641509433962265,0.75,0.005299999999999971,0.0023980888309443893,0.007942079859587503
FastFlow,inspection_binary,crop_or_full,qcr_u_neutral_q_fixed,macaroni2,200,100,100,True,0.5,0.8131,0.8392471012809389,0.7788461538461539,0.77,0.4478506921949433,0.8122,0.8449905844252585,0.7641509433962265,0.75,0.0009000000000000119,-0.0057434831443196055,0.014695210449927387
FastFlow,inspection_binary,crop_or_full,vlm_only,macaroni2,200,100,100,True,0.5,0.8122,0.8449905844252585,0.7641509433962265,0.75,0.445143857423135,0.8122,0.8449905844252585,0.7641509433962265,0.75,0.0,0.0,0.0
FastFlow,inspection_binary,crop_or_full,detector_only,macaroni2,200,100,100,True,0.5,0.7208,0.7528116034031653,0.7121212121212122,0.62,0.1957820926844771,0.8122,0.8449905844252585,0.7641509433962265,0.75,-0.09140000000000004,-0.09217898102209321,-0.05202973127501431
FastFlow,inspection_binary,crop_or_full,candidate_quality_neutral,macaroni2,200,100,100,True,0.5,0.57,0.7586118547181461,0.7261146496815286,0.785,0.5055823076064639,0.8122,0.8449905844252585,0.7641509433962265,0.75,-0.24220000000000008,-0.08637872970711247,-0.038036293714697855
FastFlow,inspection_binary,crop_or_full,candidate_quality_original,pcb1,200,100,100,True,0.5,0.995,1.0,0.9949748743718593,0.995,0.2275591027229197,0.5733,0.6395362453215383,0.6666666666666666,0.5,0.42169999999999996,0.3604637546784617,0.32830820770519265
FastFlow,inspection_binary,crop_or_full,detector_only,pcb1,200,100,100,True,0.5,0.8936,0.8922699141201902,0.8468468468468469,0.83,0.3321640682622474,0.5733,0.6395362453215383,0.6666666666666666,0.5,0.3202999999999999,0.2527336687986519,0.18018018018018023
FastFlow,inspection_binary,crop_or_full,qcr_u_original_detector_aware,pcb1,200,100,100,True,0.5,0.8863,0.9150153697564068,0.8297872340425532,0.84,0.40331550264450566,0.5733,0.6395362453215383,0.6666666666666666,0.5,0.31299999999999994,0.27547912443486855,0.16312056737588654
FastFlow,inspection_binary,crop_or_full,qcr_u_original_fixed,pcb1,200,100,100,True,0.5,0.8292,0.8710528369942672,0.7647058823529411,0.76,0.37766943743227505,0.5733,0.6395362453215383,0.6666666666666666,0.5,0.2559,0.23151659167272887,0.0980392156862745
FastFlow,inspection_binary,crop_or_full,qcr_u_no_q_detector_aware,pcb1,200,100,100,True,0.5,0.7229,0.7761355196812765,0.6990291262135923,0.69,0.41712251953532037,0.5733,0.6395362453215383,0.6666666666666666,0.5,0.14959999999999996,0.13659927435973818,0.032362459546925626
