backbone,strategy,eval_mode,category,num_images,num_normal,num_anomaly,candidate_rate_all,candidate_rate_normal,candidate_rate_anomaly,q_mean_normal,q_mean_anomaly,d_mean_normal,d_mean_anomaly,m_mean_normal,m_mean_anomaly,k_mean_normal,k_mean_anomaly,corr_q_y,corr_d_y,corr_m_y,corr_k_y,corr_q_d,corr_q_m,corr_d_m,candidate_rate_gap_anomaly_minus_normal,q_gap_anomaly_minus_normal,d_gap_anomaly_minus_normal,m_gap_anomaly_minus_normal
PatchCore,category_binary,crop_topk_ensemble,cashew,150,50,100,0.6666666666666666,0.0,1.0,0.0,0.23708927791903672,0.08915268649920229,0.5463636794318509,0.24148134206266442,0.7159584941609726,0.13071262809537124,0.44855199093320036,0.8247136907774267,0.7613708292467473,0.7877734075493097,0.7364962827627252,0.6175253114696205,0.6412440544642731,0.5851119999251669,1.0,0.23708927791903672,0.45721099293264866,0.47447715209830815
PatchCore,category_binary,crop_topk_ensemble,chewinggum,150,50,100,0.6666666666666666,0.0,1.0,0.0,0.5655614171782389,0.09041247457129606,0.8122581431428934,0.4458421295685472,0.5636069072437014,0.1701662055145701,0.49864286645733946,0.8247136907774267,0.810844178583233,0.3305251610447352,0.7296375590651567,0.7845878543143595,0.5800230746627921,0.5068984262729773,1.0,0.5655614171782389,0.7218456685715973,0.11776477767515425
PatchCore,category_binary,crop_topk_ensemble,fryum,150,50,100,0.6666666666666666,0.0,1.0,0.0,0.4409628286925302,0.11642916825293613,0.6120549484658457,0.09111394422005806,0.7694609558586507,0.09530334501128124,0.5040986472951251,0.8247136907774267,0.7426885895303749,0.8165147259010258,0.7978981901504824,0.6944930794629317,0.6844607842802864,0.6259414184512327,1.0,0.4409628286925302,0.4956257802129096,0.6783470116385927
PatchCore,category_binary,crop_topk_ensemble,macaroni1,200,100,100,0.5,0.0,1.0,0.0,0.5022804475794654,0.22987863282018567,0.5009511149366567,0.3153760064322071,0.4225231592978851,0.22218091006217652,0.3220675105439178,0.9185586535436917,0.6341141050888979,0.2547878586615207,0.47787879133047967,0.5871669067240739,0.20911337386076856,0.04559156075769236,1.0,0.5022804475794654,0.271072482116471,0.107147152865678
PatchCore,category_binary,crop_topk_ensemble,macaroni2,200,100,100,0.5,0.0,1.0,0.0,0.5065795622255209,0.39566255003016393,0.591943477232896,0.5394729879809494,0.5685731385276073,0.3446965231062248,0.4183430144569278,0.9185586535436917,0.3671385183695578,0.08002174758777876,0.25911803980804554,0.3541386776248346,0.08483458945098563,-0.02294109457671671,1.0,0.5065795622255209,0.19628092720273205,0.02910015054665782
PatchCore,category_binary,crop_topk_ensemble,pcb1,200,100,100,0.5,0.0,1.0,0.0,0.3389826179447873,0.16076739760498618,0.5706769672995944,0.3965264298969704,0.5984620060135628,0.20878540985167152,0.3888308048234964,0.9185586535436917,0.7687914590855729,0.5007421477841307,0.5989506561873137,0.7654528994125886,0.46422622589565926,0.23278128956737643,1.0,0.3389826179447873,0.40990956969460823,0.2019355761165924
PatchCore,category_binary,crop_topk_ensemble,pcb2,200,100,100,0.5,0.0,1.0,0.0,0.20431916525321575,0.13593610100907882,0.5154120707263983,0.32623162887315166,0.5579326046546881,0.17616481191596312,0.35459620412657,0.9185586535436917,0.7456978385403974,0.6772403313164825,0.6509128299456117,0.7447809093967025,0.5322764618529324,0.38447346821988265,1.0,0.20431916525321575,0.37947596971731945,0.23170097578153642
PatchCore,category_binary,crop_topk_ensemble,pcb3,201,101,100,0.4975124378109453,0.0,1.0,0.0,0.39000184184498876,0.16415086993443806,0.5503209161894507,0.2770319322282634,0.51095024479686,0.1876812023081571,0.36348708435355026,0.9195469385724475,0.7503242719001549,0.5890687647523855,0.6775576970994687,0.7435380614051884,0.5207412287793851,0.45814907123172505,1.0,0.39000184184498876,0.3861700462550126,0.23391831256859663
PatchCore,category_binary,crop_topk_ensemble,pcb4,201,101,100,0.4975124378109453,0.0,1.0,0.0,0.2945756603387778,0.11432736849386477,0.6945928511140579,0.1989711341732141,0.5367192031154953,0.13554607389631537,0.45229028050453396,0.9195469385724475,0.8502176951864261,0.793828038439241,0.8313843876330611,0.7896344946192468,0.701678385853036,0.7153546474506417,1.0,0.2945756603387778,0.5802654826201932,0.33774806894228115
PatchCore,category_binary,crop_topk_ensemble,pipe_fryum,150,50,100,0.6666666666666666,0.0,1.0,0.0,0.4426292819424904,0.13202675585164875,0.6564546417085683,0.2470787229900715,0.7736654856920339,0.1588436506737412,0.5485715393433961,0.8247136907774267,0.8070180191327054,0.8139018787781425,0.804756913848051,0.7570214348528294,0.6604164222203069,0.6832546037089937,1.0,0.4426292819424904,0.5244278858569196,0.5265867627019624
