category,permuted,seed,original_sample_auc,permuted_sample_auc,drop
pcb1,map,1,0.9483355834960998,0.7227910522461316,0.2255445312499682
pcb1,map,2,0.9483355834960998,0.7195779663086315,0.22875761718746834
pcb1,map,3,0.9483355834960998,0.7206484741211316,0.22768710937496817
pcb1,map,4,0.9483355834960998,0.7197948730469124,0.22854071044918745
pcb1,map,5,0.9483355834960998,0.7174987915039439,0.2308367919921559
pcb1,map,6,0.9483355834960998,0.7221563232422257,0.22617926025387414
pcb1,map,7,0.9483355834960998,0.7131138916016027,0.23522169189449715
pcb1,map,8,0.9483355834960998,0.7237374389648821,0.22459814453121774
pcb1,map,9,0.9483355834960998,0.720197070312538,0.22813851318356182
pcb2,appearance,0,0.9473922402033781,0.8860320587642743,0.06136018143910382
pcb2,appearance,1,0.9473922402033781,0.8851049331907371,0.06228730701264096
pcb2,appearance,2,0.9473922402033781,0.8864338417658864,0.060958398437491734
pcb2,appearance,3,0.9473922402033781,0.8857018922836195,0.06169034791975858
pcb2,appearance,4,0.9473922402033781,0.8866008573986365,0.06079138280474161
pcb2,appearance,5,0.9473922402033781,0.886791657947372,0.060600582256006064
pcb2,appearance,6,0.9473922402033781,0.8851309702071066,0.06226126999627146
pcb2,appearance,7,0.9473922402033781,0.8852665399460694,0.06212570025730868
pcb2,appearance,8,0.9473922402033781,0.8858339111328256,0.061558329070552475
pcb2,appearance,9,0.9473922402033781,0.8887000656854668,0.05869217451791131
pcb2,map,0,0.9473922402033781,0.7785093195839855,0.16888292061939258
pcb2,map,1,0.9473922402033781,0.7773337756929257,0.17005846451045237
pcb2,map,2,0.9473922402033781,0.7790399493505401,0.16835229085283798
pcb2,map,3,0.9473922402033781,0.7779019442119623,0.16949029599141574
pcb2,map,4,0.9473922402033781,0.7842344773065785,0.16315776289679962
pcb2,map,5,0.9473922402033781,0.7795397714766563,0.16785246872672177
pcb2,map,6,0.9473922402033781,0.7732733615451713,0.17411887865820674
pcb2,map,7,0.9473922402033781,0.778700135052425,0.16869210515095312
pcb2,map,8,0.9473922402033781,0.7753761660621605,0.17201607414121756
pcb2,map,9,0.9473922402033781,0.7806928123837736,0.16669942781960445
pcb3,appearance,0,0.9561243586753544,0.879614172788352,0.07651018588700242
pcb3,appearance,1,0.9561243586753544,0.8783498765935444,0.07777448208181004
pcb3,appearance,2,0.9561243586753544,0.883394004100543,0.07273035457481136
