dataset,category,strategy,eval_mode,num_images_total,num_images_used,num_normal,num_anomaly,covered_count,fallback_count,coverage_ratio,auroc,ap,best_f1,best_accuracy,best_threshold
VisA,pcb4,generic_binary,crop_topk_ensemble,201,201,101,100,100,101,0.4975124378109453,0.8321782178217823,0.8703895385320417,0.7623762376237624,0.7611940298507462,-0.0036294907331466675
VisA,pipe_fryum,generic_binary,crop_topk_ensemble,150,150,50,100,100,50,0.6666666666666666,1.0,1.0,1.0,1.0,-0.01070353388786316
VisA,candle,category_binary,full_all,200,200,100,100,200,0,1.0,0.4214,0.4595767992544066,0.6666666666666666,0.5,-0.0035934150218963623
VisA,capsules,category_binary,full_all,160,160,60,100,160,0,1.0,0.6823333333333335,0.7708666331446785,0.7764705882352941,0.64375,-0.010078728199005127
VisA,cashew,category_binary,full_all,150,150,50,100,150,0,1.0,0.6975999999999999,0.8214820394014289,0.8048780487804879,0.68,-0.004035979509353638
VisA,chewinggum,category_binary,full_all,150,150,50,100,150,0,1.0,0.702,0.8594008546461249,0.8,0.6666666666666666,-0.004816263914108276
VisA,fryum,category_binary,full_all,150,150,50,100,150,0,1.0,0.6842,0.8274278991219138,0.8018018018018018,0.7066666666666667,-0.009371668100357056
VisA,macaroni1,category_binary,full_all,200,200,100,100,200,0,1.0,0.3049,0.39071302749793957,0.6666666666666666,0.5,-0.009440630674362183
VisA,macaroni2,category_binary,full_all,200,200,100,100,200,0,1.0,0.4529,0.4686593139780515,0.6688963210702341,0.505,-0.008862495422363281
VisA,pcb1,category_binary,full_all,200,200,100,100,200,0,1.0,0.5472999999999999,0.5455920914982973,0.671280276816609,0.525,-0.0036136507987976074
VisA,pcb2,category_binary,full_all,200,200,100,100,200,0,1.0,0.4912000000000001,0.540350222435696,0.6666666666666666,0.5,-0.0057194530963897705
VisA,pcb3,category_binary,full_all,201,201,101,100,201,0,1.0,0.6381188118811881,0.6140620636126635,0.7116104868913857,0.6169154228855721,-0.0037882626056671143
VisA,pcb4,category_binary,full_all,201,201,101,100,201,0,1.0,0.618019801980198,0.6774812718270219,0.6644518272425249,0.4975124378109453,-0.0040867626667022705
VisA,pipe_fryum,category_binary,full_all,150,150,50,100,150,0,1.0,0.5692,0.6982845820644732,0.819672131147541,0.7066666666666667,-0.00625397264957428
VisA,candle,category_binary,crop_or_full,200,200,100,100,100,100,0.5,0.11120000000000001,0.3374832482338191,0.6666666666666666,0.5,-0.009200453758239746
