category,weight_id,tune_patchcore_f1,tune_rerank_f1,mean_w,max_w,gap_w,area_w,compact_w,aspect_w,semantic_w
screw,73,0.3853646333333333,0.4014367,0.4444444444444445,0.0,0.0,0.4444444444444445,0.0,0.0,0.11111111111111112
screw,74,0.3853646333333333,0.4014367,0.4,0.0,0.0,0.4,0.0,0.0,0.2
screw,75,0.3853646333333333,0.4014367,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333
screw,76,0.3853646333333333,0.4014367,0.4444444444444445,0.0,0.0,0.4444444444444445,0.0,0.11111111111111112,0.0
screw,77,0.3853646333333333,0.4014367,0.4,0.0,0.0,0.4,0.0,0.1,0.1
screw,78,0.3853646333333333,0.4014367,0.36363636363636365,0.0,0.0,0.36363636363636365,0.0,0.09090909090909091,0.18181818181818182
screw,79,0.3853646333333333,0.4014367,0.3076923076923077,0.0,0.0,0.3076923076923077,0.0,0.07692307692307693,0.3076923076923077
screw,80,0.3853646333333333,0.4014367,0.4,0.0,0.0,0.4,0.0,0.2,0.0
screw,81,0.3853646333333333,0.4014367,0.36363636363636365,0.0,0.0,0.36363636363636365,0.0,0.18181818181818182,0.09090909090909091
screw,82,0.3853646333333333,0.4014367,0.33333333333333337,0.0,0.0,0.33333333333333337,0.0,0.16666666666666669,0.16666666666666669
screw,83,0.3853646333333333,0.4014367,0.28571428571428575,0.0,0.0,0.28571428571428575,0.0,0.14285714285714288,0.28571428571428575
screw,84,0.3853646333333333,0.4014367,0.4,0.0,0.0,0.4,0.2,0.0,0.0
screw,85,0.3853646333333333,0.4014367,0.36363636363636365,0.0,0.0,0.36363636363636365,0.18181818181818182,0.0,0.09090909090909091
screw,86,0.3853646333333333,0.4014367,0.33333333333333337,0.0,0.0,0.33333333333333337,0.16666666666666669,0.0,0.16666666666666669
screw,87,0.3853646333333333,0.4014367,0.28571428571428575,0.0,0.0,0.28571428571428575,0.14285714285714288,0.0,0.28571428571428575
screw,88,0.3853646333333333,0.4014367,0.36363636363636365,0.0,0.0,0.36363636363636365,0.18181818181818182,0.09090909090909091,0.0
screw,89,0.3853646333333333,0.4014367,0.3333333333333333,0.0,0.0,0.3333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333
screw,90,0.3853646333333333,0.4014367,0.3076923076923077,0.0,0.0,0.3076923076923077,0.15384615384615385,0.07692307692307693,0.15384615384615385
screw,91,0.3853646333333333,0.4014367,0.26666666666666666,0.0,0.0,0.26666666666666666,0.13333333333333333,0.06666666666666667,0.26666666666666666
screw,92,0.3853646333333333,0.4014367,0.33333333333333337,0.0,0.0,0.33333333333333337,0.16666666666666669,0.16666666666666669,0.0
screw,93,0.3853646333333333,0.4014367,0.3076923076923077,0.0,0.0,0.3076923076923077,0.15384615384615385,0.15384615384615385,0.07692307692307693
screw,94,0.3853646333333333,0.4014367,0.28571428571428575,0.0,0.0,0.28571428571428575,0.14285714285714288,0.14285714285714288,0.14285714285714288
screw,95,0.3853646333333333,0.4014367,0.25,0.0,0.0,0.25,0.125,0.125,0.25
