dataset,category,method,n,auroc
target_AD2_4,MACRO,vlm,243,0.6524318658280923
target_AD2_4,fruit_jelly,naive_0.5,40,0.8766666666666668
target_AD2_4,sheet_metal,naive_0.5,57,0.7425925925925927
target_AD2_4,vial,naive_0.5,71,0.9182389937106918
target_AD2_4,walnuts,naive_0.5,75,0.777037037037037
target_AD2_4,MACRO,naive_0.5,243,0.828633822501747
target_AD2_4,fruit_jelly,source_selected_fixed_alpha,40,0.8566666666666667
target_AD2_4,sheet_metal,source_selected_fixed_alpha,57,0.7499999999999999
target_AD2_4,vial,source_selected_fixed_alpha,71,0.9245283018867925
target_AD2_4,walnuts,source_selected_fixed_alpha,75,0.7918518518518519
target_AD2_4,MACRO,source_selected_fixed_alpha,243,0.8307617051013277
target_AD2_4,fruit_jelly,source_logistic_D_M,40,0.8733333333333334
target_AD2_4,sheet_metal,source_logistic_D_M,57,0.7425925925925926
target_AD2_4,vial,source_logistic_D_M,71,0.9129979035639414
target_AD2_4,walnuts,source_logistic_D_M,75,0.7733333333333333
target_AD2_4,MACRO,source_logistic_D_M,243,0.8255642907058002
target_AD2_4,fruit_jelly,source_rank_constant_alpha,40,0.8733333333333334
target_AD2_4,sheet_metal,source_rank_constant_alpha,57,0.7444444444444445
target_AD2_4,vial,source_rank_constant_alpha,71,0.9182389937106918
target_AD2_4,walnuts,source_rank_constant_alpha,75,0.7770370370370371
target_AD2_4,MACRO,source_rank_constant_alpha,243,0.8282634521313766
target_AD2_4,fruit_jelly,historical_SRB,40,0.7466666666666667
target_AD2_4,sheet_metal,historical_SRB,57,0.7425925925925926
target_AD2_4,vial,historical_SRB,71,0.8805031446540881
target_AD2_4,walnuts,historical_SRB,75,0.8059259259259259
target_AD2_4,MACRO,historical_SRB,243,0.7939220824598183
