category,image_id,caliper,positive_count,matched_count,coverage,median_nearest_distance,reuse_fraction,response_pair_accuracy,MLP_pair_accuracy
macaroni2,b7e61b03528d51c88838e31c,0.05,32,6,0.1875,0.5716785788536072,0.0,0.6666666865348816,1.0
macaroni2,b7e61b03528d51c88838e31c,0.1,32,6,0.1875,0.5716785788536072,0.0,0.6666666865348816,1.0
macaroni2,b86929d14e198629e6ab27c3,0.01,32,15,0.46875,0.09263526648283005,0.19999999999999996,0.6666666865348816,1.0
macaroni2,b86929d14e198629e6ab27c3,0.05,32,16,0.5,0.09263526648283005,0.1875,0.6875,1.0
macaroni2,b86929d14e198629e6ab27c3,0.1,32,16,0.5,0.09263526648283005,0.1875,0.6875,1.0
macaroni2,b93330f8ec0ec06fd567db25,0.01,32,0,0.0,0.8686137795448303,,,
macaroni2,b93330f8ec0ec06fd567db25,0.05,32,0,0.0,0.8686137795448303,,,
macaroni2,b93330f8ec0ec06fd567db25,0.1,32,0,0.0,0.8686137795448303,,,
macaroni2,bbac3c92a49a7df39fd013a2,0.01,32,12,0.375,0.07434707880020142,0.0,0.4166666567325592,1.0
macaroni2,bbac3c92a49a7df39fd013a2,0.05,32,14,0.4375,0.07434707880020142,0.1428571428571429,0.5,1.0
macaroni2,bbac3c92a49a7df39fd013a2,0.1,32,18,0.5625,0.07434707880020142,0.33333333333333337,0.6111111044883728,1.0
macaroni2,bca9e17fdbb4da05ef608bb9,0.01,32,23,0.71875,0.00023651123046875,0.0,0.3913043439388275,1.0
macaroni2,bca9e17fdbb4da05ef608bb9,0.05,32,24,0.75,0.00023651123046875,0.0,0.4166666567325592,1.0
macaroni2,bca9e17fdbb4da05ef608bb9,0.1,32,27,0.84375,0.00023651123046875,0.11111111111111116,0.48148149251937866,1.0
macaroni2,bf7f49ab37ec49e2b3ec1cb7,0.01,32,32,1.0,0.00016552209854125977,0.0,0.59375,1.0
macaroni2,bf7f49ab37ec49e2b3ec1cb7,0.05,32,32,1.0,0.00016552209854125977,0.0,0.59375,1.0
macaroni2,bf7f49ab37ec49e2b3ec1cb7,0.1,32,32,1.0,0.00016552209854125977,0.0,0.59375,1.0
macaroni2,c0a76fcded4285964ed51841,0.01,32,19,0.59375,0.004542142152786255,0.0,0.42105263471603394,1.0
macaroni2,c0a76fcded4285964ed51841,0.05,32,19,0.59375,0.004542142152786255,0.0,0.42105263471603394,1.0
macaroni2,c0a76fcded4285964ed51841,0.1,32,19,0.59375,0.004542142152786255,0.0,0.42105263471603394,1.0
macaroni2,cc1ee3abeee827425ec2c456,0.01,32,12,0.375,0.024616152048110962,0.08333333333333337,0.5833333134651184,1.0
macaroni2,cc1ee3abeee827425ec2c456,0.05,32,20,0.625,0.024616152048110962,0.15000000000000002,0.5,1.0
macaroni2,cc1ee3abeee827425ec2c456,0.1,32,22,0.6875,0.024616152048110962,0.2272727272727273,0.5454545617103577,0.9545454382896423
macaroni2,ceaee2e842571126fc9e9988,0.01,32,14,0.4375,0.46042168140411377,0.0,0.4285714328289032,0.5
macaroni2,ceaee2e842571126fc9e9988,0.05,32,15,0.46875,0.46042168140411377,0.06666666666666665,0.46666666865348816,0.46666666865348816
macaroni2,ceaee2e842571126fc9e9988,0.1,32,15,0.46875,0.46042168140411377,0.06666666666666665,0.46666666865348816,0.46666666865348816
macaroni2,d0dce877e6cda5e371822352,0.01,32,3,0.09375,0.6989167928695679,0.0,0.3333333432674408,1.0
macaroni2,d0dce877e6cda5e371822352,0.05,32,3,0.09375,0.6989167928695679,0.0,0.3333333432674408,1.0
macaroni2,d0dce877e6cda5e371822352,0.1,32,4,0.125,0.6989167928695679,0.0,0.5,1.0
macaroni2,d2aa4f8570cfabc3225ef991,0.01,32,22,0.6875,0.0016032848507165909,0.0,0.4545454680919647,1.0
