heldout_category,w_max,q_quantile,q_threshold_from_dev,tau_delta,dev_macro_auroc,dev_detector_macro_auroc,dev_delta_vs_detector,eligible_noninferior,dev_potential_call_rate,dev_active_weight_rate,valid_dev_groups,detector_dev_groups,dev_rank
chewinggum,0.25,0.75,0.48792058022238055,0.5,0.907995499549955,0.9066557605760576,0.0013397389738973864,True,0.13667992047713717,0.10536779324055666,11,11,16.0
chewinggum,0.25,0.75,0.48792058022238055,0.75,0.909278292829283,0.9066557605760576,0.002622532253225396,True,0.13667992047713717,0.1312127236580517,11,11,8.0
chewinggum,0.35,0.25,0.2361108740578542,0.25,0.9072921092109212,0.9066557605760576,0.0006363486348636149,True,0.4100397614314115,0.18886679920477137,11,11,19.0
chewinggum,0.35,0.25,0.2361108740578542,0.5,0.9098684518451846,0.9066557605760576,0.0032126912691270437,True,0.4100397614314115,0.33548707753479123,11,11,7.0
chewinggum,0.35,0.25,0.2361108740578542,0.75,0.9137481998199818,0.9066557605760576,0.00709243924392422,True,0.4100397614314115,0.3991053677932406,11,11,1.0
chewinggum,0.35,0.5,0.3538766700095623,0.25,0.9071883738373838,0.9066557605760576,0.0005326132613262535,True,0.27335984095427435,0.12027833001988071,11,11,20.0
chewinggum,0.35,0.5,0.3538766700095623,0.5,0.9091263126312632,0.9066557605760576,0.0024705520552056326,True,0.27335984095427435,0.2201789264413519,11,11,9.0
chewinggum,0.35,0.5,0.3538766700095623,0.75,0.9119170267026703,0.9066557605760576,0.005261266126612707,True,0.27335984095427435,0.2654075546719682,11,11,2.0
chewinggum,0.35,0.75,0.48792058022238055,0.25,0.907007185718572,0.9066557605760576,0.0003514251425144055,True,0.13667992047713717,0.055168986083499,11,11,23.0
chewinggum,0.35,0.75,0.48792058022238055,0.5,0.9083556555655565,0.9066557605760576,0.0016998949894989623,True,0.13667992047713717,0.10536779324055666,11,11,14.0
chewinggum,0.35,0.75,0.48792058022238055,0.75,0.9101928142814283,0.9066557605760576,0.0035370537053707185,True,0.13667992047713717,0.1312127236580517,11,11,5.0
fryum,0.15,0.25,0.2408458987406098,0.25,0.910323492349235,0.9100557605760577,0.00026773177317729324,True,0.4100397614314115,0.19135188866799205,11,11,25.0
fryum,0.15,0.25,0.2408458987406098,0.5,0.9113806030603061,0.9100557605760577,0.0013248424842483564,True,0.4100397614314115,0.3389662027833002,11,11,15.0
fryum,0.15,0.25,0.2408458987406098,0.75,0.9129218571857186,0.9100557605760577,0.002866096609660862,True,0.4100397614314115,0.4000994035785288,11,11,6.0
fryum,0.15,0.5,0.36282104487271283,0.25,0.9102827632763276,0.9100557605760577,0.0002270027002698738,True,0.27335984095427435,0.11928429423459244,11,11,26.0
fryum,0.15,0.5,0.36282104487271283,0.5,0.9110692919291931,0.9100557605760577,0.0010135313531353107,True,0.27335984095427435,0.22266401590457258,11,11,16.0
fryum,0.15,0.5,0.36282104487271283,0.75,0.9121093909390939,0.9100557605760577,0.002053630363036185,True,0.27335984095427435,0.2659045725646123,11,11,10.0
fryum,0.15,0.75,0.505774756208204,0.25,0.9102103960396041,0.9100557605760577,0.0001546354635463265,True,0.13667992047713717,0.05616302186878728,11,11,27.0
